<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDAX30809.PL,D,20200420,000000,50.7,50.7,45.6,48.8,314,0
INTLDAX30809.PL,D,20200421,000000,34.94,37.91,34.94,37.91,200,0
INTLDAX30809.PL,D,20200422,000000,36,38.37,35.93,38.37,392,0
INTLDAX30809.PL,D,20200423,000000,36.9,42.69,36.9,42.69,280,0
INTLDAX30809.PL,D,20200424,000000,36.03,41.52,34.74,37.91,1634,0
INTLDAX30809.PL,D,20200427,000000,47.44,47.44,44.8,47.13,350,0
INTLDAX30809.PL,D,20200428,000000,49.7,60.15,49.7,55,891,0
INTLDAX30809.PL,D,20200430,000000,73.5,73.5,64.2,64.2,35,0
INTLDAX30809.PL,D,20200504,000000,40.96,44.47,40.96,44.47,609,0
INTLDAX30809.PL,D,20200505,000000,48.88,52.35,45.88,50.6,1795,0
INTLDAX30809.PL,D,20200506,000000,52.2,52.2,47.3,47.3,15,0
INTLDAX30809.PL,D,20200507,000000,50.95,50.95,50.95,50.95,10,0
INTLDAX30809.PL,D,20200508,000000,60,60,60,60,243,0
INTLDAX30809.PL,D,20200512,000000,57,59,57,59,60,0
INTLDAX30809.PL,D,20200513,000000,49,49,49,49,30,0
INTLDAX30809.PL,D,20200514,000000,38,39.91,27.66,32.4,2925,0
INTLDAX30809.PL,D,20200515,000000,42.53,42.53,41,42,301,0
INTLDAX30809.PL,D,20200518,000000,54.35,54.35,53.75,54.25,239,0
INTLDAX30809.PL,D,20200519,000000,65.85,65.85,65.85,65.85,1,0
INTLDAX30809.PL,D,20200522,000000,59.9,64.25,58.6,64.25,76,0
INTLDAX30809.PL,D,20200528,000000,97.2,97.2,97.2,97.2,51,0
INTLDAX30809.PL,D,20200529,000000,92.2,92.2,92.2,92.2,200,0
INTLDAX30809.PL,D,20200601,000000,97.8,97.8,97.7,97.7,220,0
INTLDAX30809.PL,D,20200602,000000,108,108,108,108,51,0
INTLDAX30809.PL,D,20200604,000000,125.8,125.8,125.8,125.8,20,0
INTLDAX30809.PL,D,20200605,000000,136.4,136.4,136.4,136.4,15,0
INTLDAX30809.PL,D,20200615,000000,90.4,90.4,90.4,90.4,15,0
INTLDAX30809.PL,D,20200814,000000,141,141,141,141,4,0
INTLDAX30809.PL,D,20200818,000000,142.6,142.6,142.6,142.6,4,0
INTLDAX30809.PL,D,20200820,000000,138.8,138.8,138.8,138.8,45,0
INTLDAX30809.PL,D,20200825,000000,154,154,154,154,45,0
INTLDAX30809.PL,D,20200921,000000,140.6,140.6,140.6,140.6,90,0
INTLDAX30809.PL,D,20201008,000000,151.2,151.2,151.2,151.2,90,0
