<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDNP23531.PL,D,20190621,000000,4.25,4.25,4.25,4.25,302,0
INTLDNP23531.PL,D,20190702,000000,3.72,3.72,3.72,3.72,302,0
INTLDNP23531.PL,D,20190813,000000,4.22,4.22,4.22,4.22,500,0
INTLDNP23531.PL,D,20190819,000000,4.28,4.28,4.28,4.28,500,0
INTLDNP23531.PL,D,20191011,000000,5.27,5.27,5.27,5.27,168,0
INTLDNP23531.PL,D,20191014,000000,5.05,5.05,5.05,5.05,168,0
INTLDNP23531.PL,D,20191203,000000,4.25,4.25,4.25,4.25,400,0
INTLDNP23531.PL,D,20191204,000000,4.22,4.22,4.22,4.22,400,0
INTLDNP23531.PL,D,20191206,000000,4.31,4.35,4.31,4.35,800,0
INTLDNP23531.PL,D,20191209,000000,4.28,4.28,4.28,4.28,573,0
INTLDNP23531.PL,D,20191210,000000,4.27,4.27,4.27,4.27,833,0
INTLDNP23531.PL,D,20191217,000000,4.53,4.53,4.53,4.53,550,0
INTLDNP23531.PL,D,20191218,000000,4.36,4.36,4.36,4.36,384,0
INTLDNP23531.PL,D,20191220,000000,4.68,4.68,4.68,4.68,400,0
INTLDNP23531.PL,D,20200103,000000,4.66,4.66,4.66,4.66,2100,0
INTLDNP23531.PL,D,20200123,000000,7.14,7.14,7.14,7.14,240,0
INTLDNP23531.PL,D,20200127,000000,6.22,6.22,6.16,6.16,2000,0
INTLDNP23531.PL,D,20200316,000000,4.16,4.16,3.91,3.91,478,0
INTLDNP23531.PL,D,20200323,000000,5.21,5.21,5.21,5.21,191,0
INTLDNP23531.PL,D,20200324,000000,5.17,5.2,5,5.2,571,0
INTLDNP23531.PL,D,20200325,000000,5.57,5.57,5.57,5.57,180,0
INTLDNP23531.PL,D,20200529,000000,8.45,8.45,8.45,8.45,41,0
INTLDNP23531.PL,D,20200608,000000,9.23,9.23,9.23,9.23,41,0
