<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLEUD30049.PL,D,20200415,000000,60.3,60.3,60.2,60.2,115,0
INTLEUD30049.PL,D,20200422,000000,59.3,59.3,59.3,59.3,115,0
INTLEUD30049.PL,D,20200423,000000,57.05,57.05,57.05,57.05,40,0
INTLEUD30049.PL,D,20200427,000000,58.35,58.35,58.35,58.35,40,0
INTLEUD30049.PL,D,20200603,000000,67.8,67.8,67.8,67.8,10,0
INTLEUD30049.PL,D,20200604,000000,68,68,68,68,10,0
INTLEUD30049.PL,D,20200710,000000,70,70.7,70,70.7,200,0
INTLEUD30049.PL,D,20200731,000000,85.5,85.5,85.5,85.5,45,0
INTLEUD30049.PL,D,20200805,000000,86.1,86.1,86.1,86.1,45,0
INTLEUD30049.PL,D,20200831,000000,86.6,86.6,86.6,86.6,50,0
INTLEUD30049.PL,D,20200901,000000,88.1,88.1,88.1,88.1,12,0
INTLEUD30049.PL,D,20200902,000000,85.2,85.2,85.2,85.2,12,0
INTLEUD30049.PL,D,20200903,000000,83.7,83.7,83.7,83.7,50,0
INTLEUD30049.PL,D,20200915,000000,85.8,85.8,85.8,85.8,100,0
