<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLEUR28324.PL,D,20200319,000000,40.68,40.68,33.41,33.41,140,0
INTLEUR28324.PL,D,20200324,000000,40.53,40.53,40.53,40.53,4000,0
INTLEUR28324.PL,D,20200325,000000,36.85,36.85,36.85,36.85,4000,0
INTLEUR28324.PL,D,20200331,000000,33.59,33.59,33.4,33.4,118,0
INTLEUR28324.PL,D,20200401,000000,36.3,36.3,36.3,36.3,18,0
INTLEUR28324.PL,D,20200408,000000,31.4,31.48,31.4,31.48,174,0
INTLEUR28324.PL,D,20200414,000000,32.5,32.5,32.5,32.5,150,0
INTLEUR28324.PL,D,20200417,000000,29,29,29,29,103,0
INTLEUR28324.PL,D,20200421,000000,29.41,29.41,29.41,29.41,239,0
INTLEUR28324.PL,D,20200504,000000,32.66,32.66,32.66,32.66,412,0
INTLEUR28324.PL,D,20200508,000000,32.05,32.05,32.05,32.05,50,0
INTLEUR28324.PL,D,20200515,000000,31.93,31.93,31.93,31.93,239,0
INTLEUR28324.PL,D,20200518,000000,31.43,31.43,31.43,31.43,65,0
INTLEUR28324.PL,D,20200528,000000,19.14,19.31,19.14,19.31,175,0
INTLEUR28324.PL,D,20200529,000000,20,20,19.39,19.39,220,0
INTLEUR28324.PL,D,20200601,000000,17.48,17.48,17.24,17.24,16,0
INTLEUR28324.PL,D,20200603,000000,12.6,16.24,12.6,15.72,621,0
INTLEUR28324.PL,D,20200604,000000,18.2,19.84,17.14,17.14,272,0
INTLEUR28324.PL,D,20200605,000000,19.26,20.05,17.84,17.84,365,0
INTLEUR28324.PL,D,20200609,000000,19.16,19.16,19.16,19.16,10,0
INTLEUR28324.PL,D,20200610,000000,19.28,20.35,19.28,19.58,594,0
INTLEUR28324.PL,D,20200615,000000,19.54,19.54,19.54,19.54,26,0
INTLEUR28324.PL,D,20200616,000000,17.12,17.12,17,17,114,0
INTLEUR28324.PL,D,20200618,000000,20.45,20.45,20.45,20.45,26,0
INTLEUR28324.PL,D,20200619,000000,20.3,20.3,20.3,20.3,30,0
INTLEUR28324.PL,D,20200625,000000,20.45,20.45,19.68,19.68,500,0
INTLEUR28324.PL,D,20200630,000000,18.5,18.5,18.5,18.5,10000,0
INTLEUR28324.PL,D,20200701,000000,19,19,18.84,18.84,10100,0
INTLEUR28324.PL,D,20200707,000000,19.84,20,19.84,20,113,0
INTLEUR28324.PL,D,20200713,000000,20.45,20.45,20.45,20.45,48,0
INTLEUR28324.PL,D,20200714,000000,21.8,21.8,21.8,21.8,50,0
INTLEUR28324.PL,D,20200715,000000,19.9,19.9,19.9,19.9,50,0
INTLEUR28324.PL,D,20200721,000000,17.76,17.76,17.76,17.76,300,0
INTLEUR28324.PL,D,20200723,000000,13.94,13.94,13.94,13.94,300,0
INTLEUR28324.PL,D,20200724,000000,13.4,13.4,13.4,13.4,90,0
INTLEUR28324.PL,D,20200727,000000,12.4,12.4,11.5,11.5,740,0
INTLEUR28324.PL,D,20200728,000000,12.04,12.54,12.04,12.54,490,0
INTLEUR28324.PL,D,20200729,000000,13.32,13.32,13.3,13.3,350,0
INTLEUR28324.PL,D,20200730,000000,13.26,13.26,13.26,13.26,160,0
INTLEUR28324.PL,D,20200805,000000,11.56,11.56,11.06,11.46,370,0
INTLEUR28324.PL,D,20200806,000000,12.02,12.5,11.5,12.5,420,0
INTLEUR28324.PL,D,20200807,000000,13.08,13.08,13.08,13.08,200,0
INTLEUR28324.PL,D,20200810,000000,12.16,12.46,12.16,12.46,300,0
INTLEUR28324.PL,D,20200811,000000,11.48,11.48,11,11.36,390,0
INTLEUR28324.PL,D,20200812,000000,12.24,12.24,11.86,11.86,455,0
INTLEUR28324.PL,D,20200813,000000,10.9,11.08,10.9,11.08,279,0
INTLEUR28324.PL,D,20200814,000000,10.58,11,10.58,11,459,0
INTLEUR28324.PL,D,20200817,000000,10.56,10.76,9.8,10.76,400,0
INTLEUR28324.PL,D,20200818,000000,10.6,10.88,9.12,9.12,1107,0
INTLEUR28324.PL,D,20200819,000000,11,11.82,11,11.82,126,0
INTLEUR28324.PL,D,20200820,000000,11.02,11.02,9.54,9.54,2489,0
INTLEUR28324.PL,D,20200821,000000,9.75,11.52,9.75,11.52,381,0
INTLEUR28324.PL,D,20200824,000000,11.92,11.92,10.14,10.14,430,0
INTLEUR28324.PL,D,20200825,000000,9.35,10.52,9.35,10.28,1730,0
INTLEUR28324.PL,D,20200826,000000,10.96,11.28,10.48,11.28,1450,0
INTLEUR28324.PL,D,20200827,000000,10.8,11.88,10.8,11.88,1400,0
INTLEUR28324.PL,D,20200828,000000,9.93,10.14,9.64,9.81,2270,0
INTLEUR28324.PL,D,20200831,000000,9.95,9.95,9.95,9.95,170,0
INTLEUR28324.PL,D,20200904,000000,15.42,15.42,15.42,15.42,10,0
INTLEUR28324.PL,D,20200907,000000,16.32,16.32,16.32,16.32,10,0
INTLEUR28324.PL,D,20200908,000000,14.56,14.7,14.56,14.7,355,0
INTLEUR28324.PL,D,20200909,000000,15.74,15.74,14.4,14.4,625,0
INTLEUR28324.PL,D,20200911,000000,14.98,14.98,14.98,14.98,25,0
INTLEUR28324.PL,D,20200915,000000,14.66,14.66,14.66,14.66,25,0
INTLEUR28324.PL,D,20200916,000000,14.24,14.52,14.24,14.52,230,0
INTLEUR28324.PL,D,20200921,000000,17.2,19.14,17.2,19.14,567,0
INTLEUR28324.PL,D,20200922,000000,19,19,17.74,18.22,10420,0
INTLEUR28324.PL,D,20200923,000000,18.12,19.32,18.12,19.32,10229,0
