<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLJSW32136.PL,D,20200604,000000,7.5,8.01,7.5,8.01,3425,0
INTLJSW32136.PL,D,20200605,000000,8.9,9.86,8.9,9.45,4032,0
INTLJSW32136.PL,D,20200608,000000,9.99,9.99,7.4,7.5,6927,0
INTLJSW32136.PL,D,20200609,000000,6.53,8.52,6.53,8.34,17692,0
INTLJSW32136.PL,D,20200610,000000,8.55,8.68,7.85,8.54,5481,0
INTLJSW32136.PL,D,20200612,000000,7.2,7.4,7.2,7.4,4000,0
INTLJSW32136.PL,D,20200615,000000,7.23,7.31,7.11,7.2,7870,0
INTLJSW32136.PL,D,20200617,000000,7.86,7.86,7.4,7.4,5210,0
INTLJSW32136.PL,D,20200619,000000,7.22,7.22,7.22,7.22,276,0
INTLJSW32136.PL,D,20200623,000000,8.68,8.68,8.68,8.68,400,0
INTLJSW32136.PL,D,20200624,000000,7.62,7.62,7.62,7.62,486,0
INTLJSW32136.PL,D,20200625,000000,7.1,7.1,7.1,7.1,125,0
INTLJSW32136.PL,D,20200630,000000,6.89,6.89,6.89,6.89,75,0
INTLJSW32136.PL,D,20200701,000000,6.75,6.75,6.75,6.75,75,0
INTLJSW32136.PL,D,20200702,000000,7.13,7.13,7.13,7.13,150,0
INTLJSW32136.PL,D,20200709,000000,7.99,7.99,7.99,7.99,150,0
INTLJSW32136.PL,D,20200710,000000,7.58,7.58,7.58,7.58,150,0
INTLJSW32136.PL,D,20200713,000000,8.41,8.41,8.41,8.41,200,0
INTLJSW32136.PL,D,20200721,000000,8.17,8.17,8,8,700,0
INTLJSW32136.PL,D,20200723,000000,7.94,7.94,7.71,7.71,5900,0
INTLJSW32136.PL,D,20200724,000000,7.43,7.43,7.43,7.43,200,0
INTLJSW32136.PL,D,20200728,000000,6.75,6.75,6.75,6.75,2000,0
INTLJSW32136.PL,D,20200729,000000,5.72,5.72,4.9,4.9,16400,0
INTLJSW32136.PL,D,20200730,000000,4.59,4.59,3.8,4.16,13471,0
INTLJSW32136.PL,D,20200731,000000,4.07,4.51,4.07,4.51,4000,0
INTLJSW32136.PL,D,20200805,000000,5.21,5.21,5.21,5.21,2000,0
INTLJSW32136.PL,D,20200806,000000,4.41,4.43,4.41,4.41,1658,0
INTLJSW32136.PL,D,20200807,000000,4.09,4.09,4.09,4.09,5,0
INTLJSW32136.PL,D,20200811,000000,4.73,4.73,4.73,4.73,2000,0
INTLJSW32136.PL,D,20200812,000000,4.79,4.79,4.79,4.79,294,0
INTLJSW32136.PL,D,20200814,000000,4.1,4.1,4.01,4.01,4000,0
INTLJSW32136.PL,D,20200817,000000,4.72,4.72,4.72,4.72,318,0
INTLJSW32136.PL,D,20200819,000000,4.06,4.06,3.56,3.56,4406,0
INTLJSW32136.PL,D,20200820,000000,3.35,3.35,2.87,3,36908,0
INTLJSW32136.PL,D,20200821,000000,3.02,3.27,2.74,3.27,8096,0
INTLJSW32136.PL,D,20200824,000000,3.5,4.2,3.5,4.2,5377,0
INTLJSW32136.PL,D,20200825,000000,4.18,4.18,3.43,3.52,8763,0
INTLJSW32136.PL,D,20200826,000000,3.72,3.72,3.35,3.35,1500,0
INTLJSW32136.PL,D,20200827,000000,3.41,3.5,3.34,3.5,760,0
INTLJSW32136.PL,D,20200831,000000,3.58,3.61,3.58,3.61,1634,0
INTLJSW32136.PL,D,20200901,000000,3.16,3.16,2.89,2.89,3500,0
INTLJSW32136.PL,D,20200902,000000,3.25,3.3,3.25,3.3,2000,0
INTLJSW32136.PL,D,20200903,000000,3.64,3.64,3.64,3.64,200,0
INTLJSW32136.PL,D,20200904,000000,3.7,4.15,3.7,4.11,7158,0
INTLJSW32136.PL,D,20200907,000000,4.75,9.85,4.75,9.85,12304,0
INTLJSW32136.PL,D,20200908,000000,12.34,14.98,6.97,9.15,27587,0
INTLJSW32136.PL,D,20200909,000000,9.1,9.23,7.84,8.09,9362,0
INTLJSW32136.PL,D,20200910,000000,8.63,10.84,7.54,9.25,21073,0
INTLJSW32136.PL,D,20200911,000000,9.52,11.1,9.52,10.8,10738,0
INTLJSW32136.PL,D,20200914,000000,12.44,13.32,11.74,11.92,29209,0
INTLJSW32136.PL,D,20200915,000000,11.64,13.78,11.14,13.32,17192,0
INTLJSW32136.PL,D,20200916,000000,14.32,16.28,14.32,16.28,5228,0
INTLJSW32136.PL,D,20200917,000000,15.04,17.8,14.9,15.9,6314,0
INTLJSW32136.PL,D,20200918,000000,15.94,16.22,15.94,16.02,230,0
INTLJSW32136.PL,D,20200921,000000,15,15,12.74,12.82,8812,0
INTLJSW32136.PL,D,20200922,000000,12.72,14.18,12.72,13.26,2855,0
INTLJSW32136.PL,D,20200923,000000,13.54,13.54,11.22,11.22,9469,0
INTLJSW32136.PL,D,20200924,000000,10.6,12,10.6,11.18,5518,0
INTLJSW32136.PL,D,20200925,000000,12,14.74,12,12.64,4505,0
INTLJSW32136.PL,D,20200928,000000,13.26,15,13.26,14.98,2643,0
INTLJSW32136.PL,D,20200929,000000,15.56,15.56,13.86,13.86,3711,0
INTLJSW32136.PL,D,20200930,000000,14.1,14.1,12.98,13.72,585,0
INTLJSW32136.PL,D,20201001,000000,13.7,13.7,13.2,13.3,2310,0
INTLJSW32136.PL,D,20201002,000000,12.8,12.8,12.04,12.58,3614,0
