<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNDX32540.PL,D,20200618,000000,57.2,57.2,56.6,56.6,86,0
INTLNDX32540.PL,D,20200619,000000,61,61,61,61,49,0
INTLNDX32540.PL,D,20200622,000000,59,59,59,59,49,0
INTLNDX32540.PL,D,20200623,000000,64.5,64.5,64.5,64.5,45,0
INTLNDX32540.PL,D,20200624,000000,64,64,60,60,640,0
INTLNDX32540.PL,D,20200625,000000,56.4,59,54.4,59,226,0
INTLNDX32540.PL,D,20200626,000000,60.6,60.6,54,54,107,0
INTLNDX32540.PL,D,20200629,000000,51,51.5,47.8,51.5,384,0
INTLNDX32540.PL,D,20200630,000000,56,58.1,56,58.1,159,0
INTLNDX32540.PL,D,20200701,000000,62.3,66,62.1,66,171,0
INTLNDX32540.PL,D,20200702,000000,69.4,72.8,69.4,72.8,600,0
INTLNDX32540.PL,D,20200703,000000,72.5,72.5,70.7,70.8,542,0
INTLNDX32540.PL,D,20200706,000000,76.1,77.4,75.7,77.4,345,0
INTLNDX32540.PL,D,20200707,000000,78.5,83.1,78.5,82.3,72,0
INTLNDX32540.PL,D,20200708,000000,79,79,78.1,78.4,17,0
INTLNDX32540.PL,D,20200709,000000,82.7,85.8,82.7,85.8,349,0
INTLNDX32540.PL,D,20200710,000000,83.6,85.5,83.6,85.5,444,0
INTLNDX32540.PL,D,20200713,000000,92,95.1,92,94.9,162,0
INTLNDX32540.PL,D,20200714,000000,83.4,83.7,72.3,76.5,1313,0
INTLNDX32540.PL,D,20200715,000000,83.5,83.5,82.7,83.4,151,0
INTLNDX32540.PL,D,20200716,000000,78.6,78.6,77.3,77.3,330,0
INTLNDX32540.PL,D,20200717,000000,81.5,81.5,81.5,81.5,12,0
INTLNDX32540.PL,D,20200720,000000,85,85,85,85,25,0
INTLNDX32540.PL,D,20200721,000000,95.8,95.8,91,91,34,0
INTLNDX32540.PL,D,20200722,000000,86.4,86.4,86.4,86.4,10,0
INTLNDX32540.PL,D,20200723,000000,85.1,85.1,85.1,85.1,12,0
INTLNDX32540.PL,D,20200724,000000,69.7,72.6,69.7,72.6,44,0
INTLNDX32540.PL,D,20200728,000000,79,79,79,79,11,0
INTLNDX32540.PL,D,20200731,000000,85.6,86.4,85.6,86.4,630,0
INTLNDX32540.PL,D,20200806,000000,94,94,93.3,93.3,64,0
INTLNDX32540.PL,D,20200807,000000,99,99,99,99,10,0
INTLNDX32540.PL,D,20200818,000000,100,100,100,100,1,0
INTLNDX32540.PL,D,20200819,000000,103.4,103.4,103.4,103.4,30,0
INTLNDX32540.PL,D,20200828,000000,124.6,124.6,124.6,124.6,20,0
INTLNDX32540.PL,D,20200908,000000,104.2,104.2,104.2,104.2,5,0
INTLNDX32540.PL,D,20200923,000000,97,97,97,97,5,0
INTLNDX32540.PL,D,20201012,000000,122.8,123.8,122.8,123.8,82,0
INTLNDX32540.PL,D,20201013,000000,130.2,130.2,130.2,130.2,10,0
