<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPZU15941.PL,D,20180112,000000,22.92,22.92,22.92,22.92,39,0
INTLPZU15941.PL,D,20180116,000000,22.82,22.82,22.82,22.82,100,0
INTLPZU15941.PL,D,20180122,000000,23.39,23.39,23.39,23.39,100,0
INTLPZU15941.PL,D,20180123,000000,23.51,23.51,23.51,23.51,200,0
INTLPZU15941.PL,D,20180125,000000,23.82,24.03,23.82,24.01,400,0
INTLPZU15941.PL,D,20180126,000000,24.44,24.44,24.44,24.44,100,0
INTLPZU15941.PL,D,20180130,000000,23.04,23.04,23.04,23.04,200,0
INTLPZU15941.PL,D,20180131,000000,23.37,23.37,23.37,23.37,100,0
INTLPZU15941.PL,D,20180201,000000,21.34,21.34,21.34,21.34,200,0
INTLPZU15941.PL,D,20180202,000000,21.05,21.05,21.05,21.05,200,0
INTLPZU15941.PL,D,20180208,000000,20.75,20.75,20.75,20.75,39,0
INTLPZU15941.PL,D,20180511,000000,17.08,17.08,17.08,17.08,16,0
INTLPZU15941.PL,D,20181211,000000,21.25,21.32,21.25,21.32,94,0
INTLPZU15941.PL,D,20200309,000000,10.45,10.45,10.45,10.45,165,0
INTLPZU15941.PL,D,20200310,000000,10.8,10.8,10.8,10.8,165,0
INTLPZU15941.PL,D,20200312,000000,7.13,7.68,6.82,6.82,438,0
INTLPZU15941.PL,D,20200313,000000,6.02,6.8,6.02,6.8,78,0
INTLPZU15941.PL,D,20200316,000000,3.35,5.14,3.07,5.05,32240,0
INTLPZU15941.PL,D,20200317,000000,7.07,8.97,6.03,7.8,8949,0
INTLPZU15941.PL,D,20200318,000000,6.81,8.58,6.78,7.07,6012,0
INTLPZU15941.PL,D,20200319,000000,9.15,10.71,9.15,10.71,901,0
INTLPZU15941.PL,D,20200320,000000,11.4,11.4,9.06,9.06,516,0
INTLPZU15941.PL,D,20200323,000000,7.5,8.57,7.18,7.18,1116,0
INTLPZU15941.PL,D,20200324,000000,8.19,8.2,7.56,8.07,27834,0
INTLPZU15941.PL,D,20200325,000000,8.44,8.44,6.89,7,7665,0
INTLPZU15941.PL,D,20200326,000000,6.71,9.1,6.71,8.81,32492,0
INTLPZU15941.PL,D,20200327,000000,9.03,9.63,9.03,9.63,1840,0
INTLPZU15941.PL,D,20200330,000000,8.69,9.68,8.69,9.68,560,0
INTLPZU15941.PL,D,20200331,000000,9.41,10.34,9.25,10.34,340,0
INTLPZU15941.PL,D,20200401,000000,10.36,10.36,10.3,10.3,700,0
INTLPZU15941.PL,D,20200402,000000,9,9.13,8.9,9.13,820,0
