<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSLV33688.PL,D,20200814,000000,16.7,17.94,16.7,17.94,320,0
INTLSLV33688.PL,D,20200817,000000,17.7,19.68,17.7,19.68,7631,0
INTLSLV33688.PL,D,20200818,000000,21.8,23,19.5,19.9,2270,0
INTLSLV33688.PL,D,20200819,000000,19.5,19.5,19.5,19.5,530,0
INTLSLV33688.PL,D,20200820,000000,18.56,18.82,17.94,18.54,2048,0
INTLSLV33688.PL,D,20200821,000000,17.72,17.72,16.66,16.66,180,0
INTLSLV33688.PL,D,20200824,000000,16.4,18.6,16.4,18,2546,0
INTLSLV33688.PL,D,20200825,000000,15.6,15.6,15.6,15.6,51,0
INTLSLV33688.PL,D,20200827,000000,19.2,20.9,17,17,1280,0
INTLSLV33688.PL,D,20200828,000000,19.72,20.25,19.72,19.8,1356,0
INTLSLV33688.PL,D,20200831,000000,21.2,22.2,21.05,22,588,0
INTLSLV33688.PL,D,20200901,000000,23.95,23.95,23,23,850,0
INTLSLV33688.PL,D,20200902,000000,21.45,21.45,19.8,19.8,395,0
INTLSLV33688.PL,D,20200903,000000,18,18.46,18,18.46,296,0
INTLSLV33688.PL,D,20200904,000000,17.02,17.02,17.02,17.02,50,0
INTLSLV33688.PL,D,20200907,000000,17.64,17.64,17.6,17.6,66,0
INTLSLV33688.PL,D,20200908,000000,16.5,16.5,13.88,16,1795,0
INTLSLV33688.PL,D,20200909,000000,17.5,17.5,17.5,17.5,50,0
INTLSLV33688.PL,D,20200915,000000,18.96,18.96,18.96,18.96,150,0
INTLSLV33688.PL,D,20200921,000000,16.8,16.8,6,6,680,0
INTLSLV33688.PL,D,20200922,000000,7.34,9.16,7.3,9.05,7636,0
