<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSPX32862.PL,D,20200625,000000,11.24,12.6,11.16,12.6,3978,0
INTLSPX32862.PL,D,20200626,000000,13.14,13.14,13.14,13.14,12,0
INTLSPX32862.PL,D,20200629,000000,11.36,11.36,11.04,11.2,225,0
INTLSPX32862.PL,D,20200630,000000,12.36,12.62,12.06,12.26,970,0
INTLSPX32862.PL,D,20200701,000000,14,15,14,14.82,483,0
INTLSPX32862.PL,D,20200702,000000,15.12,16.5,15.12,16.5,370,0
INTLSPX32862.PL,D,20200703,000000,15.84,15.84,15.34,15.34,256,0
INTLSPX32862.PL,D,20200706,000000,17.08,17.34,16.88,16.88,766,0
INTLSPX32862.PL,D,20200707,000000,16.76,16.76,16.76,16.76,38,0
INTLSPX32862.PL,D,20200708,000000,16.42,16.42,16.28,16.28,65,0
INTLSPX32862.PL,D,20200709,000000,16.58,17,15.76,15.94,2855,0
INTLSPX32862.PL,D,20200710,000000,16.22,16.5,15.88,16.5,2949,0
INTLSPX32862.PL,D,20200713,000000,18.06,18.44,18.06,18.44,174,0
INTLSPX32862.PL,D,20200714,000000,16.88,17.02,15.48,16.32,6701,0
INTLSPX32862.PL,D,20200715,000000,18.4,19.44,18.34,19.3,4754,0
INTLSPX32862.PL,D,20200716,000000,18.1,18.1,18.1,18.1,130,0
INTLSPX32862.PL,D,20200717,000000,18.36,18.54,18.22,18.36,1659,0
INTLSPX32862.PL,D,20200720,000000,18.46,19.1,18.46,19.1,463,0
INTLSPX32862.PL,D,20200721,000000,20.45,20.8,20.4,20.4,560,0
INTLSPX32862.PL,D,20200722,000000,19.98,19.98,19.22,19.48,4223,0
INTLSPX32862.PL,D,20200723,000000,20.3,20.3,20.3,20.3,60,0
INTLSPX32862.PL,D,20200724,000000,17.76,18.32,17.68,18.14,5140,0
INTLSPX32862.PL,D,20200727,000000,17.92,18.12,17.92,18.12,205,0
INTLSPX32862.PL,D,20200730,000000,18.4,18.4,17.4,17.4,2609,0
INTLSPX32862.PL,D,20200731,000000,19.1,19.1,19.1,19.1,210,0
INTLSPX32862.PL,D,20200803,000000,19.8,20.55,19.8,20.25,439,0
INTLSPX32862.PL,D,20200804,000000,20.8,20.8,20.8,20.8,100,0
INTLSPX32862.PL,D,20200805,000000,21.55,21.55,21.1,21.25,739,0
INTLSPX32862.PL,D,20200806,000000,21.1,21.4,21.1,21.4,163,0
INTLSPX32862.PL,D,20200807,000000,21.85,22.15,21.85,22.15,120,0
INTLSPX32862.PL,D,20200810,000000,22.95,22.95,22.5,22.5,545,0
INTLSPX32862.PL,D,20200811,000000,23.6,23.6,23,23,753,0
INTLSPX32862.PL,D,20200812,000000,22.7,22.95,22.7,22.85,554,0
INTLSPX32862.PL,D,20200813,000000,23.25,23.25,23.25,23.25,45,0
INTLSPX32862.PL,D,20200814,000000,22.8,23.15,22.8,23.15,420,0
INTLSPX32862.PL,D,20200817,000000,23.2,23.4,23.2,23.4,114,0
INTLSPX32862.PL,D,20200821,000000,23.95,23.95,23.95,23.95,50,0
INTLSPX32862.PL,D,20200824,000000,24.9,25.2,24.9,25.2,130,0
INTLSPX32862.PL,D,20200825,000000,25.95,25.95,25.9,25.9,98,0
INTLSPX32862.PL,D,20200826,000000,26.1,26.1,26.1,26.1,50,0
INTLSPX32862.PL,D,20200831,000000,28.45,28.45,28.35,28.35,105,0
INTLSPX32862.PL,D,20200903,000000,31.15,31.25,28.65,28.65,473,0
INTLSPX32862.PL,D,20200904,000000,26.55,27.1,23.2,23.2,201,0
INTLSPX32862.PL,D,20200907,000000,24.65,24.8,24.65,24.8,72,0
INTLSPX32862.PL,D,20200908,000000,24.95,24.95,22.9,22.9,80,0
INTLSPX32862.PL,D,20200909,000000,22.25,22.35,22.25,22.35,87,0
INTLSPX32862.PL,D,20200911,000000,23.25,23.25,23.25,23.25,20,0
INTLSPX32862.PL,D,20200917,000000,22.05,22.05,22.05,22.05,30,0
INTLSPX32862.PL,D,20200921,000000,20.45,20.45,18.66,18.66,130,0
INTLSPX32862.PL,D,20200922,000000,20.05,20.05,20.05,20.05,40,0
INTLSPX32862.PL,D,20200923,000000,21.65,21.65,21.65,21.65,30,0
INTLSPX32862.PL,D,20200928,000000,22.15,22.9,22.15,22.9,70,0
INTLSPX32862.PL,D,20200929,000000,23.45,23.45,23.45,23.45,50,0
INTLSPX32862.PL,D,20200930,000000,22,22,22,22,10,0
INTLSPX32862.PL,D,20201005,000000,23.25,23.25,23.25,23.25,231,0
INTLSPX32862.PL,D,20201006,000000,24.3,24.3,24.3,24.3,231,0
INTLSPX32862.PL,D,20201007,000000,23.75,23.75,23.75,23.75,20,0
INTLSPX32862.PL,D,20201008,000000,25.8,25.9,25.8,25.9,362,0
INTLSPX32862.PL,D,20201009,000000,26.9,26.9,26.9,26.9,100,0
INTLSPX32862.PL,D,20201012,000000,28.2,28.2,28.2,28.2,100,0
INTLSPX32862.PL,D,20201013,000000,29.25,29.25,29.25,29.25,100,0
INTLSPX32862.PL,D,20201015,000000,27.5,27.5,26.9,26.9,350,0
