<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLUSD34256.PL,D,20200924,000000,25.5,29.35,25.5,29.3,551,0
INTLUSD34256.PL,D,20200925,000000,26.8,29.8,26.8,29.6,790,0
INTLUSD34256.PL,D,20200928,000000,28.8,30.6,27.3,30.6,724,0
INTLUSD34256.PL,D,20200929,000000,29.05,29.05,23,23.05,1501,0
INTLUSD34256.PL,D,20200930,000000,23.85,26.1,23.25,24.5,5215,0
INTLUSD34256.PL,D,20201001,000000,21.85,22.4,18.1,19.5,5969,0
INTLUSD34256.PL,D,20201002,000000,19.74,22.3,19.74,21.7,3913,0
INTLUSD34256.PL,D,20201005,000000,20.5,20.55,18.12,18.26,1343,0
INTLUSD34256.PL,D,20201006,000000,18.66,18.66,17.2,17.56,2121,0
INTLUSD34256.PL,D,20201007,000000,19.26,19.26,17.82,17.82,620,0
INTLUSD34256.PL,D,20201008,000000,17.98,18.62,17.8,18.38,1760,0
INTLUSD34256.PL,D,20201009,000000,17.88,17.88,15.12,15.4,3185,0
INTLUSD34256.PL,D,20201012,000000,16.34,17.2,16.34,17.2,2167,0
INTLUSD34256.PL,D,20201013,000000,16.5,19.1,16.22,19.1,1600,0
INTLUSD34256.PL,D,20201014,000000,19.56,20.9,18.8,20.25,829,0
INTLUSD34256.PL,D,20201015,000000,23.15,24,23,24,26,0
INTLUSD34256.PL,D,20201016,000000,25.6,25.75,25.6,25.75,1050,0
