<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLW2028647.PL,D,20200319,000000,7.3,7.64,7.3,7.64,350,0
INTLW2028647.PL,D,20200320,000000,8.06,8.19,8.06,8.19,150,0
INTLW2028647.PL,D,20200323,000000,7.14,7.39,7.1,7.21,1760,0
INTLW2028647.PL,D,20200324,000000,7.49,7.49,7.17,7.17,800,0
INTLW2028647.PL,D,20200325,000000,7.75,7.95,7.01,7.09,3273,0
INTLW2028647.PL,D,20200326,000000,7.18,7.18,7.18,7.18,300,0
INTLW2028647.PL,D,20200327,000000,7.76,7.76,7.67,7.67,1200,0
INTLW2028647.PL,D,20200330,000000,7.36,7.63,7.36,7.63,700,0
INTLW2028647.PL,D,20200331,000000,7.77,8.1,7.77,7.83,900,0
INTLW2028647.PL,D,20200401,000000,7.78,7.78,7.74,7.74,450,0
INTLW2028647.PL,D,20200402,000000,7.78,7.78,7.78,7.78,400,0
INTLW2028647.PL,D,20200403,000000,7.72,7.84,7.62,7.74,1200,0
INTLW2028647.PL,D,20200409,000000,8.98,8.98,8.98,8.98,400,0
INTLW2028647.PL,D,20200414,000000,9.23,9.23,9.23,9.23,200,0
INTLW2028647.PL,D,20200415,000000,8.94,8.99,8.94,8.99,400,0
INTLW2028647.PL,D,20200416,000000,8.91,8.98,8.82,8.82,1300,0
INTLW2028647.PL,D,20200420,000000,8.97,9.23,8.86,9.23,700,0
INTLW2028647.PL,D,20200421,000000,8.99,8.99,8.88,8.88,300,0
INTLW2028647.PL,D,20200422,000000,8.61,8.61,8.61,8.61,200,0
INTLW2028647.PL,D,20200423,000000,8.94,8.94,8.94,8.94,200,0
INTLW2028647.PL,D,20200424,000000,9.05,9.05,9.05,9.05,300,0
INTLW2028647.PL,D,20200504,000000,8.96,8.96,8.95,8.95,300,0
INTLW2028647.PL,D,20200505,000000,8.9,8.9,8.83,8.83,300,0
INTLW2028647.PL,D,20200506,000000,8.79,8.79,8.53,8.53,900,0
INTLW2028647.PL,D,20200507,000000,8.57,8.72,8.57,8.72,600,0
INTLW2028647.PL,D,20200511,000000,8.74,8.79,8.64,8.79,500,0
INTLW2028647.PL,D,20200512,000000,8.89,8.89,8.89,8.89,200,0
INTLW2028647.PL,D,20200514,000000,8.63,8.63,8.63,8.63,150,0
INTLW2028647.PL,D,20200515,000000,8.75,8.76,8.59,8.59,350,0
INTLW2028647.PL,D,20200518,000000,8.78,8.94,8.78,8.94,200,0
INTLW2028647.PL,D,20200529,000000,10.01,10.01,10.01,10.01,200,0
INTLW2028647.PL,D,20200601,000000,10.28,10.28,10.12,10.12,300,0
INTLW2028647.PL,D,20200603,000000,10.44,10.44,10.44,10.44,100,0
INTLW2028647.PL,D,20200612,000000,10.66,10.78,10.66,10.78,300,0
INTLW2028647.PL,D,20200615,000000,10.36,10.36,10.18,10.3,450,0
INTLW2028647.PL,D,20200616,000000,10.62,10.62,10.62,10.62,150,0
INTLW2028647.PL,D,20200617,000000,10.86,10.92,10.86,10.92,300,0
INTLW2028647.PL,D,20200618,000000,10.64,10.78,10.64,10.78,400,0
INTLW2028647.PL,D,20200622,000000,10.7,10.7,10.7,10.7,100,0
INTLW2028647.PL,D,20200624,000000,10.86,10.86,10.8,10.8,200,0
INTLW2028647.PL,D,20200625,000000,10.48,10.58,10.48,10.58,200,0
INTLW2028647.PL,D,20200629,000000,10.38,10.48,10.38,10.48,300,0
INTLW2028647.PL,D,20200630,000000,10.4,10.4,10.4,10.4,150,0
INTLW2028647.PL,D,20200701,000000,10.24,10.24,10.24,10.24,150,0
INTLW2028647.PL,D,20200803,000000,10.68,10.76,10.68,10.76,200,0
INTLW2028647.PL,D,20200814,000000,11.3,11.3,11.3,11.3,110,0
INTLW2028647.PL,D,20200820,000000,10.98,10.98,10.98,10.98,110,0
INTLW2028647.PL,D,20201015,000000,9.11,9.11,9.11,9.11,218,0
INTLW2028647.PL,D,20201016,000000,9.21,9.21,9.21,9.21,218,0
