<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSBCO28076.PL,D,20200323,000000,126.3,126.3,126.3,126.3,1,0
INTSBCO28076.PL,D,20200420,000000,125.7,125.7,125.7,125.7,1,0
INTSBCO28076.PL,D,20200421,000000,154.2,154.2,154.2,154.2,10,0
INTSBCO28076.PL,D,20200422,000000,166.1,166.1,166.1,166.1,10,0
INTSBCO28076.PL,D,20200701,000000,78.2,78.7,77.2,78.7,254,0
INTSBCO28076.PL,D,20200721,000000,66.6,66.6,66.6,66.6,100,0
INTSBCO28076.PL,D,20200805,000000,59,59,59,59,100,0
INTSBCO28076.PL,D,20200825,000000,59.8,59.8,59.8,59.8,17,0
INTSBCO28076.PL,D,20200827,000000,60.5,60.5,60.5,60.5,17,0
INTSBCO28076.PL,D,20200903,000000,69.3,69.3,68.9,68.9,190,0
INTSBCO28076.PL,D,20200907,000000,75.5,75.5,75.5,75.5,300,0
INTSBCO28076.PL,D,20200916,000000,78.1,78.1,78.1,78.1,15,0
INTSBCO28076.PL,D,20200918,000000,73.2,73.2,73.2,73.2,25,0
