<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSDAX28191.PL,D,20200316,000000,170,170,170,170,2,0
INTSDAX28191.PL,D,20200317,000000,158.7,158.7,158.7,158.7,20,0
INTSDAX28191.PL,D,20200318,000000,166.9,174.3,166.9,174.3,32,0
INTSDAX28191.PL,D,20200319,000000,182.7,184.7,182.7,184.7,30,0
INTSDAX28191.PL,D,20200320,000000,151.9,153,151.9,153,11,0
INTSDAX28191.PL,D,20200323,000000,173.3,173.3,158.8,158.8,30,0
INTSDAX28191.PL,D,20200324,000000,141.3,141.3,130.9,130.9,39,0
INTSDAX28191.PL,D,20200325,000000,102.9,127.7,102.9,127.7,8,0
INTSDAX28191.PL,D,20200327,000000,116,123.2,116,123.2,30,0
INTSDAX28191.PL,D,20200330,000000,124.7,124.7,124.7,124.7,10,0
INTSDAX28191.PL,D,20200406,000000,107.9,107.9,104,104,25,0
INTSDAX28191.PL,D,20200407,000000,88.75,91.7,88.75,91.7,68,0
INTSDAX28191.PL,D,20200408,000000,92,94.15,92,94.15,38,0
INTSDAX28191.PL,D,20200409,000000,87.05,87.05,77,81.2,77,0
INTSDAX28191.PL,D,20200414,000000,74.55,74.55,69.05,69.05,135,0
INTSDAX28191.PL,D,20200415,000000,78.9,92.2,78.9,91,432,0
INTSDAX28191.PL,D,20200416,000000,85.1,87.95,85.1,86.95,100,0
INTSDAX28191.PL,D,20200417,000000,76.75,78,70.8,75.5,155,0
INTSDAX28191.PL,D,20200420,000000,78.95,81.05,75.45,75.45,184,0
INTSDAX28191.PL,D,20200421,000000,81.6,90.75,81.6,85.55,389,0
INTSDAX28191.PL,D,20200422,000000,87.75,89.65,86.2,89.65,133,0
INTSDAX28191.PL,D,20200423,000000,88.85,88.85,80.9,80.9,200,0
INTSDAX28191.PL,D,20200424,000000,90.15,90.4,86.1,86.1,100,0
INTSDAX28191.PL,D,20200427,000000,77.2,77.6,76.75,77.6,1249,0
INTSDAX28191.PL,D,20200428,000000,74.05,74.05,63.7,68.75,1623,0
INTSDAX28191.PL,D,20200429,000000,62.5,62.5,58.5,58.5,400,0
INTSDAX28191.PL,D,20200430,000000,50.25,63,50.25,63,450,0
INTSDAX28191.PL,D,20200504,000000,78.9,84.45,78.9,84.15,248,0
INTSDAX28191.PL,D,20200505,000000,74.6,79,71.65,72.4,315,0
INTSDAX28191.PL,D,20200506,000000,72.8,75.7,72.1,75.7,108,0
INTSDAX28191.PL,D,20200507,000000,71.5,73,69.55,73,185,0
INTSDAX28191.PL,D,20200508,000000,64,66.65,62.3,64.25,410,0
INTSDAX28191.PL,D,20200511,000000,60.15,68.9,59.8,68,365,0
INTSDAX28191.PL,D,20200512,000000,63.95,67.85,63.95,65.15,385,0
INTSDAX28191.PL,D,20200513,000000,74,77.2,74,77.15,195,0
INTSDAX28191.PL,D,20200514,000000,86,94.6,82.5,94.6,387,0
INTSDAX28191.PL,D,20200515,000000,80.9,85.9,79.35,82.05,720,0
INTSDAX28191.PL,D,20200518,000000,71.2,71.2,61,61,1130,0
INTSDAX28191.PL,D,20200519,000000,50.1,60,50.1,57.9,2240,0
INTSDAX28191.PL,D,20200520,000000,55,55,48.66,48.66,475,0
INTSDAX28191.PL,D,20200521,000000,54.15,54.55,49.28,52.6,976,0
INTSDAX28191.PL,D,20200522,000000,61.8,62.2,51.2,52.3,1645,0
INTSDAX28191.PL,D,20200525,000000,49.4,49.4,40.74,40.74,304,0
INTSDAX28191.PL,D,20200526,000000,33.31,36.41,32.29,32.73,248,0
INTSDAX28191.PL,D,20200527,000000,31.6,32.35,22.94,29.84,5090,0
INTSDAX28191.PL,D,20200528,000000,23.31,26.12,19.68,20.15,13576,0
INTSDAX28191.PL,D,20200529,000000,27.75,30.24,23.54,29.25,29119,0
INTSDAX28191.PL,D,20200601,000000,19.96,26.1,17.88,18,51624,0
INTSDAX28191.PL,D,20200602,000000,17.04,17.18,11,11,17347,0
