<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSDOW24067.PL,D,20190821,000000,226.6,226.6,226.6,226.6,1,0
INTSDOW24067.PL,D,20190828,000000,242.8,242.8,242.8,242.8,2,0
INTSDOW24067.PL,D,20190912,000000,183.3,183.3,183.3,183.3,10,0
INTSDOW24067.PL,D,20190918,000000,185.2,185.2,185.2,185.2,10,0
INTSDOW24067.PL,D,20190919,000000,187.1,187.1,187.1,187.1,16,0
INTSDOW24067.PL,D,20191001,000000,189.6,189.6,189.6,189.6,10,0
INTSDOW24067.PL,D,20191018,000000,182.7,182.7,182.7,182.7,10,0
INTSDOW24067.PL,D,20191023,000000,187.8,187.8,187.8,187.8,10,0
INTSDOW24067.PL,D,20191031,000000,175.4,178.5,173.5,178.5,30,0
INTSDOW24067.PL,D,20191104,000000,161.3,161.3,161.3,161.3,20,0
INTSDOW24067.PL,D,20191105,000000,158.9,163,158.9,163,46,0
INTSDOW24067.PL,D,20191108,000000,152.3,152.3,152.3,152.3,3,0
INTSDOW24067.PL,D,20191114,000000,150.5,150.5,150.5,150.5,10,0
INTSDOW24067.PL,D,20191115,000000,144.8,144.8,144.8,144.8,10,0
INTSDOW24067.PL,D,20191119,000000,140.4,140.4,140.4,140.4,10,0
INTSDOW24067.PL,D,20191126,000000,135,135,135,135,10,0
INTSDOW24067.PL,D,20191202,000000,136.4,140.7,136.4,140.7,20,0
INTSDOW24067.PL,D,20191204,000000,155.4,155.4,155.4,155.4,26,0
INTSDOW24067.PL,D,20191206,000000,137.1,137.1,137.1,137.1,20,0
INTSDOW24067.PL,D,20191209,000000,135.9,135.9,135.9,135.9,7,0
INTSDOW24067.PL,D,20191216,000000,125.4,125.4,125.4,125.4,30,0
INTSDOW24067.PL,D,20191218,000000,122.5,122.5,122.5,122.5,20,0
INTSDOW24067.PL,D,20191223,000000,113.2,113.2,113.2,113.2,10,0
INTSDOW24067.PL,D,20191227,000000,106.2,106.2,106,106,60,0
