<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSHSC28225.PL,D,20200312,000000,38.65,39,38.65,39,60,0
INTSHSC28225.PL,D,20200316,000000,45.35,46.7,42.44,42.44,468,0
INTSHSC28225.PL,D,20200317,000000,45,45,43,43.41,506,0
INTSHSC28225.PL,D,20200320,000000,45.06,45.66,45.06,45.66,10,0
INTSHSC28225.PL,D,20200326,000000,42.3,42.3,42.3,42.3,20,0
INTSHSC28225.PL,D,20200331,000000,40.22,40.22,40.22,40.22,50,0
INTSHSC28225.PL,D,20200407,000000,35.79,35.79,34.13,34.13,60,0
INTSHSC28225.PL,D,20200608,000000,29.5,29.5,29.5,29.5,34,0
INTSHSC28225.PL,D,20200615,000000,34.7,34.7,34.7,34.7,34,0
INTSHSC28225.PL,D,20200708,000000,21.85,21.85,20.7,20.7,80,0
