<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSJSW25957.PL,D,20191115,000000,10.55,10.55,10.55,10.55,40,0
INTSJSW25957.PL,D,20191118,000000,10.65,10.65,10.23,10.47,139,0
INTSJSW25957.PL,D,20191119,000000,10.62,10.62,10.62,10.62,411,0
INTSJSW25957.PL,D,20191120,000000,10.76,10.76,10.76,10.76,46,0
INTSJSW25957.PL,D,20191121,000000,10.7,10.7,10.52,10.52,139,0
INTSJSW25957.PL,D,20191126,000000,10.95,10.95,9.95,9.95,900,0
INTSJSW25957.PL,D,20191127,000000,9.51,9.51,9.51,9.51,411,0
INTSJSW25957.PL,D,20191129,000000,10.45,10.45,10.13,10.13,335,0
INTSJSW25957.PL,D,20191203,000000,10.74,10.74,10.7,10.7,146,0
INTSJSW25957.PL,D,20191204,000000,11.92,12.15,11.92,12.15,383,0
INTSJSW25957.PL,D,20191205,000000,11.96,12.56,11.91,11.91,485,0
INTSJSW25957.PL,D,20191206,000000,11.53,11.64,11.53,11.64,1600,0
INTSJSW25957.PL,D,20191209,000000,10.83,10.83,10.83,10.83,800,0
INTSJSW25957.PL,D,20191210,000000,10.51,10.51,10.51,10.51,12,0
INTSJSW25957.PL,D,20191212,000000,10.3,10.3,10.3,10.3,50,0
INTSJSW25957.PL,D,20191220,000000,10.85,10.85,10.85,10.85,2,0
INTSJSW25957.PL,D,20200102,000000,7.97,7.97,7.19,7.48,2095,0
INTSJSW25957.PL,D,20200103,000000,7.25,7.37,7.25,7.37,520,0
INTSJSW25957.PL,D,20200107,000000,6.59,6.89,6.57,6.87,900,0
INTSJSW25957.PL,D,20200108,000000,6.09,9.06,5.61,9.06,12056,0
INTSJSW25957.PL,D,20200109,000000,8.32,9.41,8.26,8.48,7734,0
INTSJSW25957.PL,D,20200110,000000,8.2,8.2,8.1,8.18,850,0
INTSJSW25957.PL,D,20200113,000000,8.12,8.12,8.12,8.12,250,0
INTSJSW25957.PL,D,20200114,000000,7.55,7.55,6.79,6.79,11150,0
INTSJSW25957.PL,D,20200115,000000,7.05,7.39,7.03,7.37,7650,0
INTSJSW25957.PL,D,20200116,000000,8,8,7.93,7.93,939,0
INTSJSW25957.PL,D,20200117,000000,7.97,8.44,7.97,8.44,1915,0
INTSJSW25957.PL,D,20200120,000000,9.34,9.34,9.34,9.34,1000,0
INTSJSW25957.PL,D,20200121,000000,9.6,10,9.16,9.6,6730,0
INTSJSW25957.PL,D,20200122,000000,9.65,9.9,9.36,9.89,11000,0
INTSJSW25957.PL,D,20200123,000000,10.21,10.46,10.08,10.24,1574,0
INTSJSW25957.PL,D,20200124,000000,10.4,10.4,10.4,10.4,200,0
INTSJSW25957.PL,D,20200127,000000,10.75,11.75,10.75,11.53,3100,0
INTSJSW25957.PL,D,20200128,000000,11.6,11.65,10.9,10.9,1780,0
INTSJSW25957.PL,D,20200129,000000,10.2,10.76,10.2,10.76,880,0
INTSJSW25957.PL,D,20200130,000000,11.39,11.39,11.34,11.34,446,0
INTSJSW25957.PL,D,20200131,000000,11.84,12.19,11.84,12.11,2425,0
INTSJSW25957.PL,D,20200203,000000,12.71,13.08,12.71,13.08,2200,0
INTSJSW25957.PL,D,20200207,000000,12.23,12.3,12.06,12.3,1180,0
INTSJSW25957.PL,D,20200210,000000,12.35,12.44,12.35,12.44,1160,0
INTSJSW25957.PL,D,20200211,000000,12.52,12.52,12.48,12.48,240,0
INTSJSW25957.PL,D,20200213,000000,12.65,12.65,12.65,12.65,150,0
INTSJSW25957.PL,D,20200214,000000,12.87,12.87,12.87,12.87,150,0
INTSJSW25957.PL,D,20200217,000000,12.78,12.78,12.78,12.78,1400,0
INTSJSW25957.PL,D,20200219,000000,13.46,13.65,13.33,13.33,670,0
INTSJSW25957.PL,D,20200220,000000,14.22,14.58,14.22,14.58,646,0
INTSJSW25957.PL,D,20200221,000000,15.18,15.18,14.78,14.86,1800,0
INTSJSW25957.PL,D,20200225,000000,16.29,16.49,16.29,16.41,266,0
INTSJSW25957.PL,D,20200226,000000,17,17,16.63,16.63,550,0
INTSJSW25957.PL,D,20200227,000000,16.89,17.54,16.89,17.54,550,0
INTSJSW25957.PL,D,20200228,000000,18.45,18.55,17.36,17.36,1111,0
INTSJSW25957.PL,D,20200302,000000,16.63,16.63,16.63,16.63,100,0
