<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSNDX33191.PL,D,20200722,000000,42.15,42.15,42.15,42.15,115,0
INTSNDX33191.PL,D,20200723,000000,41.6,41.6,41.6,41.6,12,0
INTSNDX33191.PL,D,20200724,000000,57.7,57.7,57.7,57.7,12,0
INTSNDX33191.PL,D,20200730,000000,52,52,52,52,20,0
INTSNDX33191.PL,D,20200731,000000,38.75,38.85,37.5,37.5,545,0
INTSNDX33191.PL,D,20200803,000000,37.95,37.95,33,33.9,85,0
INTSNDX33191.PL,D,20200805,000000,30.5,30.5,30.5,30.5,25,0
INTSNDX33191.PL,D,20200806,000000,31.65,31.65,29.45,29.45,63,0
INTSNDX33191.PL,D,20200807,000000,26.65,26.65,25,25.55,334,0
INTSNDX33191.PL,D,20200810,000000,29.5,35.1,29.5,35,646,0
INTSNDX33191.PL,D,20200811,000000,29,35.55,29,34,312,0
INTSNDX33191.PL,D,20200812,000000,36.1,36.1,30.45,30.9,1146,0
INTSNDX33191.PL,D,20200813,000000,29,29.55,25.15,25.2,1372,0
INTSNDX33191.PL,D,20200814,000000,26.45,29.6,26.45,29.6,541,0
INTSNDX33191.PL,D,20200817,000000,26.75,26.75,23.7,24.25,2221,0
INTSNDX33191.PL,D,20200818,000000,22.85,22.85,19.84,21.35,882,0
INTSNDX33191.PL,D,20200819,000000,18.58,20.9,17.5,18.88,900,0
INTSNDX33191.PL,D,20200820,000000,23.25,23.25,19.66,19.7,2205,0
INTSNDX33191.PL,D,20200821,000000,15.18,16.8,13.44,13.98,2338,0
