<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPGE26989.PL,D,20200203,000000,2.95,3.2,2.95,3.2,14547,0
INTSPGE26989.PL,D,20200204,000000,3.23,3.25,3.23,3.25,7929,0
INTSPGE26989.PL,D,20200205,000000,3.17,3.17,3.16,3.16,6773,0
INTSPGE26989.PL,D,20200207,000000,3.26,3.26,3.26,3.26,155,0
INTSPGE26989.PL,D,20200210,000000,3.43,3.43,3.43,3.43,1000,0
INTSPGE26989.PL,D,20200211,000000,3.32,3.32,3.15,3.15,300,0
INTSPGE26989.PL,D,20200213,000000,3.6,3.6,3.6,3.6,1000,0
INTSPGE26989.PL,D,20200214,000000,3.72,3.75,3.63,3.75,2500,0
INTSPGE26989.PL,D,20200219,000000,3.97,4.04,3.97,4.04,900,0
INTSPGE26989.PL,D,20200221,000000,4.24,4.24,4.03,4.03,80,0
INTSPGE26989.PL,D,20200224,000000,4.25,4.36,4.25,4.34,1250,0
INTSPGE26989.PL,D,20200225,000000,4.45,4.47,4.45,4.47,1300,0
INTSPGE26989.PL,D,20200302,000000,5.23,5.23,5.23,5.23,700,0
INTSPGE26989.PL,D,20200303,000000,4.94,4.94,4.94,4.94,250,0
INTSPGE26989.PL,D,20200602,000000,4.27,4.27,4.27,4.27,200,0
INTSPGE26989.PL,D,20200604,000000,4,4,4,4,100,0
INTSPGE26989.PL,D,20200610,000000,2.31,2.36,1.77,1.77,23573,0
INTSPGE26989.PL,D,20200612,000000,2.26,2.26,1.27,1.62,34420,0
INTSPGE26989.PL,D,20200615,000000,1.93,2.55,1.93,2.33,23855,0
INTSPGE26989.PL,D,20200616,000000,2.05,2.34,2.05,2.31,12020,0
INTSPGE26989.PL,D,20200617,000000,2.42,2.68,2.41,2.67,10350,0
INTSPGE26989.PL,D,20200618,000000,2.61,2.75,1.8,1.8,71445,0
INTSPGE26989.PL,D,20200619,000000,1.41,1.85,1.29,1.65,24058,0
INTSPGE26989.PL,D,20200622,000000,1.69,1.72,1.57,1.63,2730,0
INTSPGE26989.PL,D,20200623,000000,1.65,2.09,1.44,2.09,20917,0
INTSPGE26989.PL,D,20200624,000000,2.02,2.4,2.02,2.3,8630,0
INTSPGE26989.PL,D,20200625,000000,2.54,2.55,2.29,2.29,8465,0
INTSPGE26989.PL,D,20200626,000000,2.5,2.5,2.5,2.5,300,0
INTSPGE26989.PL,D,20200629,000000,2.61,2.92,2.61,2.76,7265,0
INTSPGE26989.PL,D,20200630,000000,2.68,2.68,2.48,2.65,9230,0
