<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPKN34173.PL,D,20200910,000000,20.25,20.3,20.25,20.3,110,0
INTSPKN34173.PL,D,20200917,000000,18.98,18.98,18.98,18.98,100,0
INTSPKN34173.PL,D,20200918,000000,19.2,20.2,19.2,20.2,140,0
INTSPKN34173.PL,D,20200922,000000,23.55,23.55,22.9,22.9,450,0
INTSPKN34173.PL,D,20200923,000000,22.6,22.6,22.6,22.6,250,0
INTSPKN34173.PL,D,20200924,000000,23.8,24.65,23.8,24.65,150,0
INTSPKN34173.PL,D,20200928,000000,24,24,22.75,22.75,28,0
INTSPKN34173.PL,D,20200929,000000,21.95,23.1,21.95,23.05,58,0
INTSPKN34173.PL,D,20201002,000000,24.65,24.65,24.65,24.65,208,0
INTSPKN34173.PL,D,20201005,000000,22.9,22.9,22.9,22.9,400,0
INTSPKN34173.PL,D,20201006,000000,21.85,21.85,21.8,21.8,258,0
INTSPKN34173.PL,D,20201007,000000,21.95,22.25,21.95,22.25,116,0
INTSPKN34173.PL,D,20201008,000000,22.45,22.55,22.25,22.25,195,0
INTSPKN34173.PL,D,20201009,000000,23,23,22.5,22.5,910,0
INTSPKN34173.PL,D,20201012,000000,23.3,23.7,23.3,23.7,220,0
INTSPKN34173.PL,D,20201013,000000,23.95,25.4,23.95,24.85,623,0
INTSPKN34173.PL,D,20201014,000000,24.8,25.7,24.8,25.3,88,0
INTSPKN34173.PL,D,20201015,000000,26.25,27.8,26.25,27.8,1662,0
INTSPKN34173.PL,D,20201016,000000,27.3,27.65,26.3,26.3,521,0
