<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSW2026005.PL,D,20191205,000000,2.56,2.56,2.52,2.52,800,0
INTSW2026005.PL,D,20191206,000000,2.76,2.83,2.68,2.68,4631,0
INTSW2026005.PL,D,20191209,000000,2.85,2.91,2.85,2.91,2373,0
INTSW2026005.PL,D,20191210,000000,2.8,2.96,2.8,2.87,13382,0
INTSW2026005.PL,D,20191211,000000,2.95,3.1,2.95,2.97,6892,0
INTSW2026005.PL,D,20191212,000000,2.65,2.65,2.6,2.6,774,0
INTSW2026005.PL,D,20191216,000000,2.26,2.28,2.25,2.25,10100,0
INTSW2026005.PL,D,20191217,000000,2.24,2.24,2.04,2.1,32515,0
INTSW2026005.PL,D,20191218,000000,2.24,2.24,2.24,2.24,443,0
INTSW2026005.PL,D,20191220,000000,2.1,2.1,2.1,2.1,1935,0
INTSW2026005.PL,D,20191227,000000,1.83,1.83,1.83,1.83,3154,0
INTSW2026005.PL,D,20200102,000000,1.64,1.64,1.45,1.45,600,0
INTSW2026005.PL,D,20200103,000000,1.75,1.85,1.75,1.8,3300,0
INTSW2026005.PL,D,20200108,000000,2.13,2.22,2.05,2.22,3930,0
INTSW2026005.PL,D,20200109,000000,1.88,1.89,1.88,1.89,6540,0
INTSW2026005.PL,D,20200110,000000,1.75,1.75,1.75,1.75,580,0
INTSW2026005.PL,D,20200113,000000,1.71,1.71,1.5,1.5,740,0
INTSW2026005.PL,D,20200114,000000,1.58,1.59,1.52,1.52,1880,0
INTSW2026005.PL,D,20200115,000000,1.62,1.7,1.62,1.65,600,0
INTSW2026005.PL,D,20200117,000000,1.76,1.76,1.65,1.65,1320,0
INTSW2026005.PL,D,20200120,000000,1.6,1.62,1.55,1.55,3000,0
INTSW2026005.PL,D,20200121,000000,1.67,1.67,1.67,1.67,2200,0
INTSW2026005.PL,D,20200122,000000,1.69,1.88,1.69,1.86,2020,0
INTSW2026005.PL,D,20200123,000000,1.82,1.82,1.82,1.82,2200,0
INTSW2026005.PL,D,20200127,000000,2.14,2.45,2.14,2.4,69023,0
INTSW2026005.PL,D,20200128,000000,2.51,2.51,2.51,2.51,3000,0
INTSW2026005.PL,D,20200129,000000,2.19,2.25,2.19,2.25,580,0
INTSW2026005.PL,D,20200130,000000,2.6,2.6,2.45,2.59,16000,0
INTSW2026005.PL,D,20200131,000000,2.53,2.73,2.53,2.73,4000,0
INTSW2026005.PL,D,20200203,000000,2.68,2.68,2.65,2.65,61530,0
INTSW2026005.PL,D,20200204,000000,2.44,2.44,2.44,2.44,21000,0
INTSW2026005.PL,D,20200221,000000,2.48,2.48,2.48,2.48,30000,0
INTSW2026005.PL,D,20200224,000000,2.77,3.05,2.77,3.05,4240,0
INTSW2026005.PL,D,20200225,000000,3.61,3.62,3.61,3.62,200,0
INTSW2026005.PL,D,20200226,000000,3.88,4.07,3.78,3.95,3694,0
INTSW2026005.PL,D,20200228,000000,5.88,5.88,5.42,5.68,1700,0
INTSW2026005.PL,D,20200302,000000,5.06,5.24,4.98,5.24,819,0
INTSW2026005.PL,D,20200303,000000,4.83,4.83,4.27,4.27,30772,0
INTSW2026005.PL,D,20200306,000000,5.75,5.75,5.75,5.75,774,0
INTSW2026005.PL,D,20200309,000000,6.8,6.8,6.8,6.8,500,0
INTSW2026005.PL,D,20200310,000000,6.9,6.9,6.9,6.9,220,0
INTSW2026005.PL,D,20200311,000000,7.61,8.18,7.61,8.18,400,0
INTSW2026005.PL,D,20200312,000000,9.3,9.58,9.3,9.58,300,0
INTSW2026005.PL,D,20200313,000000,9.79,9.79,9.38,9.38,1074,0
INTSW2026005.PL,D,20200316,000000,10.58,10.58,10.58,10.58,60,0
INTSW2026005.PL,D,20200320,000000,8.25,8.25,8.25,8.25,60,0
INTSW2026005.PL,D,20200422,000000,7.49,7.51,7.49,7.51,200,0
INTSW2026005.PL,D,20200423,000000,7.19,7.19,7,7,2000,0
INTSW2026005.PL,D,20200430,000000,6.41,6.41,6.41,6.41,227,0
INTSW2026005.PL,D,20200615,000000,5.68,5.68,5.68,5.68,526,0
INTSW2026005.PL,D,20200616,000000,5.16,5.16,5.16,5.16,526,0
INTSW2026005.PL,D,20200724,000000,5.1,5.1,5.1,5.1,488,0
INTSW2026005.PL,D,20200803,000000,5.24,5.24,5.24,5.24,488,0
INTSW2026005.PL,D,20200821,000000,4.79,4.79,4.79,4.79,20,0
INTSW2026005.PL,D,20200824,000000,4.61,4.61,4.61,4.61,10,0
INTSW2026005.PL,D,20200901,000000,4.91,4.91,4.91,4.91,100,0
INTSW2026005.PL,D,20200904,000000,5.28,5.28,5.28,5.28,100,0
INTSW2026005.PL,D,20200909,000000,5.27,5.27,5.27,5.27,500,0
INTSW2026005.PL,D,20200925,000000,6.07,6.14,6.07,6.13,390,0
INTSW2026005.PL,D,20200928,000000,5.64,5.64,5.51,5.51,400,0
INTSW2026005.PL,D,20200929,000000,5.59,5.59,5.57,5.57,220,0
INTSW2026005.PL,D,20200930,000000,5.67,5.67,5.67,5.67,200,0
INTSW2026005.PL,D,20201001,000000,5.87,5.87,5.87,5.87,200,0
INTSW2026005.PL,D,20201002,000000,6.03,6.03,5.79,5.79,490,0
INTSW2026005.PL,D,20201005,000000,5.66,5.66,5.44,5.44,700,0
INTSW2026005.PL,D,20201006,000000,5.4,5.45,5.38,5.38,500,0
INTSW2026005.PL,D,20201007,000000,5.41,5.65,5.41,5.61,860,0
INTSW2026005.PL,D,20201015,000000,6.44,6.44,6.44,6.44,190,0
