<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCBSX5E0921.PL,D,20180912,000000,1016.3,1016.3,1016.3,1016.3,500,0
RCBSX5E0921.PL,D,20180919,000000,1033.7,1033.7,1033.5,1033.5,2369,0
RCBSX5E0921.PL,D,20180926,000000,1028.2,1028.2,1028.2,1028.2,76,0
RCBSX5E0921.PL,D,20181002,000000,1024.4,1024.4,1024.4,1024.4,50,0
RCBSX5E0921.PL,D,20181003,000000,1025.6,1025.6,1025.6,1025.6,59,0
RCBSX5E0921.PL,D,20181116,000000,1005.9,1005.9,1005.9,1005.9,500,0
RCBSX5E0921.PL,D,20190306,000000,1034.3,1034.3,1034.3,1034.3,500,0
RCBSX5E0921.PL,D,20190319,000000,1041.2,1041.2,1041.2,1041.2,50,0
RCBSX5E0921.PL,D,20190409,000000,1048.8,1048.8,1048.3,1048.3,273,0
RCBSX5E0921.PL,D,20190410,000000,1050.2,1050.2,1049.8,1049.8,240,0
RCBSX5E0921.PL,D,20190515,000000,1056.9,1056.9,1056.9,1056.9,100,0
RCBSX5E0921.PL,D,20190625,000000,1076.8,1076.8,1076.8,1076.8,300,0
RCBSX5E0921.PL,D,20200303,000000,1132.6,1132.6,1132.6,1132.6,160,0
RCBSX5E0921.PL,D,20200522,000000,1075.2,1075.2,1075.2,1075.2,142,0
RCBSX5E0921.PL,D,20201015,000000,1135.5,1135.5,1135.5,1135.5,142,0
