<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCCOFFAOPEN1.PL,D,20171220,000000,3.93,3.93,3.92,3.92,685,0
RCCOFFAOPEN1.PL,D,20171227,000000,3.92,3.92,3.92,3.92,35,0
RCCOFFAOPEN1.PL,D,20171228,000000,3.95,3.95,3.95,3.95,500,0
RCCOFFAOPEN1.PL,D,20180109,000000,3.92,3.96,3.92,3.96,400,0
RCCOFFAOPEN1.PL,D,20180110,000000,3.96,3.96,3.93,3.93,550,0
RCCOFFAOPEN1.PL,D,20180111,000000,3.93,3.93,3.86,3.86,400,0
RCCOFFAOPEN1.PL,D,20180112,000000,3.86,3.86,3.84,3.84,3350,0
RCCOFFAOPEN1.PL,D,20180115,000000,3.79,3.79,3.79,3.79,540,0
RCCOFFAOPEN1.PL,D,20180116,000000,3.74,3.74,3.74,3.74,500,0
RCCOFFAOPEN1.PL,D,20180118,000000,3.77,3.77,3.77,3.77,500,0
RCCOFFAOPEN1.PL,D,20180123,000000,3.73,3.73,3.73,3.73,400,0
RCCOFFAOPEN1.PL,D,20180129,000000,3.8,3.81,3.8,3.81,587,0
RCCOFFAOPEN1.PL,D,20180130,000000,3.73,3.73,3.73,3.73,50,0
RCCOFFAOPEN1.PL,D,20180131,000000,3.7,3.7,3.7,3.7,500,0
RCCOFFAOPEN1.PL,D,20180201,000000,3.67,3.67,3.67,3.67,500,0
RCCOFFAOPEN1.PL,D,20180202,000000,3.66,3.66,3.66,3.66,500,0
RCCOFFAOPEN1.PL,D,20180205,000000,3.64,3.64,3.64,3.64,40,0
RCCOFFAOPEN1.PL,D,20180206,000000,3.65,3.72,3.65,3.72,1500,0
RCCOFFAOPEN1.PL,D,20180207,000000,3.73,3.73,3.73,3.73,500,0
RCCOFFAOPEN1.PL,D,20180208,000000,3.79,3.8,3.79,3.8,600,0
RCCOFFAOPEN1.PL,D,20180213,000000,3.72,3.72,3.72,3.72,500,0
RCCOFFAOPEN1.PL,D,20180216,000000,3.68,3.68,3.64,3.64,2000,0
RCCOFFAOPEN1.PL,D,20180219,000000,3.58,3.59,3.58,3.59,1900,0
RCCOFFAOPEN1.PL,D,20180220,000000,3.6,3.6,3.6,3.6,600,0
RCCOFFAOPEN1.PL,D,20180222,000000,3.61,3.61,3.61,3.61,500,0
RCCOFFAOPEN1.PL,D,20180223,000000,3.65,3.65,3.65,3.65,500,0
RCCOFFAOPEN1.PL,D,20180228,000000,3.71,3.71,3.71,3.71,100,0
RCCOFFAOPEN1.PL,D,20180301,000000,3.77,3.77,3.77,3.77,100,0
RCCOFFAOPEN1.PL,D,20180302,000000,3.76,3.76,3.72,3.72,700,0
RCCOFFAOPEN1.PL,D,20180305,000000,3.69,3.69,3.66,3.66,600,0
RCCOFFAOPEN1.PL,D,20180306,000000,3.67,3.67,3.66,3.66,1210,0
RCCOFFAOPEN1.PL,D,20180307,000000,3.64,3.64,3.64,3.64,500,0
RCCOFFAOPEN1.PL,D,20180312,000000,3.64,3.64,3.64,3.64,500,0
RCCOFFAOPEN1.PL,D,20180315,000000,3.6,3.6,3.6,3.6,500,0
RCCOFFAOPEN1.PL,D,20180316,000000,3.63,3.63,3.59,3.59,1730,0
RCCOFFAOPEN1.PL,D,20180319,000000,3.62,3.62,3.62,3.62,350,0
RCCOFFAOPEN1.PL,D,20180320,000000,3.63,3.63,3.63,3.63,1380,0
RCCOFFAOPEN1.PL,D,20180322,000000,3.63,3.63,3.63,3.63,500,0
RCCOFFAOPEN1.PL,D,20180326,000000,3.56,3.56,3.55,3.55,345,0
RCCOFFAOPEN1.PL,D,20180327,000000,3.58,3.58,3.58,3.58,300,0
RCCOFFAOPEN1.PL,D,20180403,000000,3.55,3.56,3.55,3.56,2350,0
RCCOFFAOPEN1.PL,D,20180404,000000,3.57,3.57,3.55,3.55,2266,0
RCCOFFAOPEN1.PL,D,20180405,000000,3.57,3.6,3.57,3.6,740,0
RCCOFFAOPEN1.PL,D,20180409,000000,3.6,3.6,3.6,3.6,340,0
RCCOFFAOPEN1.PL,D,20180411,000000,3.52,3.52,3.52,3.52,340,0
RCCOFFAOPEN1.PL,D,20180417,000000,3.43,3.43,3.41,3.41,840,0
RCCOFFAOPEN1.PL,D,20180427,000000,3.67,3.67,3.67,3.67,100,0
RCCOFFAOPEN1.PL,D,20180502,000000,3.94,3.94,3.94,3.94,100,0
RCCOFFAOPEN1.PL,D,20180504,000000,3.86,3.87,3.86,3.87,600,0
RCCOFFAOPEN1.PL,D,20180508,000000,3.79,3.79,3.79,3.79,720,0
RCCOFFAOPEN1.PL,D,20180515,000000,3.7,3.7,3.7,3.7,10000,0
RCCOFFAOPEN1.PL,D,20180517,000000,3.75,3.8,3.75,3.8,50400,0
RCCOFFAOPEN1.PL,D,20180518,000000,3.77,3.77,3.77,3.77,2652,0
RCCOFFAOPEN1.PL,D,20180522,000000,3.86,3.86,3.86,3.86,355,0
RCCOFFAOPEN1.PL,D,20180523,000000,3.85,3.85,3.84,3.84,500,0
RCCOFFAOPEN1.PL,D,20180524,000000,3.86,3.86,3.86,3.86,2000,0
RCCOFFAOPEN1.PL,D,20180525,000000,3.87,3.87,3.87,3.87,400,0
RCCOFFAOPEN1.PL,D,20180604,000000,3.91,3.91,3.91,3.91,234,0
RCCOFFAOPEN1.PL,D,20180608,000000,3.71,3.71,3.71,3.71,1002,0
RCCOFFAOPEN1.PL,D,20180611,000000,3.7,3.7,3.7,3.7,1001,0
RCCOFFAOPEN1.PL,D,20180621,000000,3.73,3.73,3.73,3.73,4006,0
RCCOFFAOPEN1.PL,D,20180622,000000,3.7,3.7,3.7,3.7,5300,0
RCCOFFAOPEN1.PL,D,20180625,000000,3.74,3.74,3.74,3.74,500,0
RCCOFFAOPEN1.PL,D,20180629,000000,3.71,3.71,3.71,3.71,1012,0
RCCOFFAOPEN1.PL,D,20180702,000000,3.7,3.7,3.68,3.68,7002,0
RCCOFFAOPEN1.PL,D,20180703,000000,3.63,3.63,3.63,3.63,2201,0
RCCOFFAOPEN1.PL,D,20180705,000000,3.59,3.59,3.59,3.59,500,0
RCCOFFAOPEN1.PL,D,20180706,000000,3.47,3.48,3.47,3.47,92950,0
RCCOFFAOPEN1.PL,D,20180709,000000,3.6,3.6,3.6,3.6,300,0
RCCOFFAOPEN1.PL,D,20180712,000000,3.57,3.57,3.57,3.57,1300,0
RCCOFFAOPEN1.PL,D,20180713,000000,3.55,3.55,3.52,3.52,2605,0
RCCOFFAOPEN1.PL,D,20180716,000000,3.49,3.49,3.49,3.49,2900,0
RCCOFFAOPEN1.PL,D,20180717,000000,3.45,3.45,3.45,3.45,300,0
RCCOFFAOPEN1.PL,D,20180718,000000,3.44,3.44,3.43,3.43,5999,0
RCCOFFAOPEN1.PL,D,20180723,000000,3.55,3.55,3.55,3.55,3555,0
RCCOFFAOPEN1.PL,D,20180724,000000,3.54,3.54,3.52,3.52,2500,0
RCCOFFAOPEN1.PL,D,20180725,000000,3.51,3.51,3.5,3.5,6901,0
RCCOFFAOPEN1.PL,D,20180727,000000,3.47,3.47,3.47,3.47,1919,0
RCCOFFAOPEN1.PL,D,20180730,000000,3.47,3.49,3.47,3.49,8000,0
RCCOFFAOPEN1.PL,D,20180801,000000,3.45,3.45,3.45,3.45,7500,0
RCCOFFAOPEN1.PL,D,20180802,000000,3.41,3.41,3.36,3.36,4800,0
RCCOFFAOPEN1.PL,D,20180816,000000,3.35,3.35,3.35,3.35,1000,0
RCCOFFAOPEN1.PL,D,20180817,000000,3.31,3.31,3.28,3.28,7501,0
RCCOFFAOPEN1.PL,D,20180820,000000,3.28,3.29,3.28,3.29,1500,0
RCCOFFAOPEN1.PL,D,20180821,000000,3.14,3.16,3.14,3.16,6195,0
RCCOFFAOPEN1.PL,D,20180822,000000,3.11,3.12,3.06,3.12,1430,0
RCCOFFAOPEN1.PL,D,20180824,000000,3.1,3.1,3.1,3.1,990,0
RCCOFFAOPEN1.PL,D,20180827,000000,3.21,3.21,3.21,3.21,940,0
RCCOFFAOPEN1.PL,D,20180905,000000,3.18,3.18,3.17,3.17,625,0
RCCOFFAOPEN1.PL,D,20180911,000000,3.12,3.12,3.12,3.12,3003,0
RCCOFFAOPEN1.PL,D,20180914,000000,3.04,3.04,3.04,3.04,5000,0
RCCOFFAOPEN1.PL,D,20180918,000000,2.98,2.98,2.92,2.92,7335,0
RCCOFFAOPEN1.PL,D,20180919,000000,2.92,2.92,2.92,2.92,200,0
RCCOFFAOPEN1.PL,D,20180924,000000,3.01,3.01,3,3,10000,0
RCCOFFAOPEN1.PL,D,20180927,000000,2.96,2.96,2.96,2.96,500,0
RCCOFFAOPEN1.PL,D,20181001,000000,3.15,3.15,3.15,3.15,55,0
RCCOFFAOPEN1.PL,D,20181002,000000,3.26,3.29,3.26,3.29,800,0
RCCOFFAOPEN1.PL,D,20181003,000000,3.35,3.35,3.35,3.35,2730,0
RCCOFFAOPEN1.PL,D,20181008,000000,3.48,3.48,3.48,3.48,200,0
RCCOFFAOPEN1.PL,D,20181010,000000,3.52,3.52,3.49,3.49,920,0
RCCOFFAOPEN1.PL,D,20181012,000000,3.48,3.56,3.48,3.56,94400,0
RCCOFFAOPEN1.PL,D,20181015,000000,3.61,3.64,3.61,3.63,14000,0
RCCOFFAOPEN1.PL,D,20181016,000000,3.66,3.66,3.66,3.66,271,0
RCCOFFAOPEN1.PL,D,20181018,000000,3.8,3.8,3.8,3.8,1800,0
RCCOFFAOPEN1.PL,D,20181019,000000,3.82,3.86,3.82,3.83,1960,0
RCCOFFAOPEN1.PL,D,20181023,000000,3.62,3.62,3.62,3.62,260,0
RCCOFFAOPEN1.PL,D,20181024,000000,3.76,3.76,3.76,3.76,6000,0
RCCOFFAOPEN1.PL,D,20181025,000000,3.83,3.83,3.83,3.83,17323,0
RCCOFFAOPEN1.PL,D,20181026,000000,3.84,3.85,3.84,3.85,66920,0
RCCOFFAOPEN1.PL,D,20181029,000000,3.8,3.8,3.8,3.8,340,0
RCCOFFAOPEN1.PL,D,20181030,000000,3.6,3.6,3.6,3.6,3100,0
RCCOFFAOPEN1.PL,D,20181031,000000,3.58,3.58,3.54,3.54,73200,0
RCCOFFAOPEN1.PL,D,20181102,000000,3.77,3.77,3.77,3.77,71000,0
RCCOFFAOPEN1.PL,D,20181113,000000,3.5,3.5,3.49,3.49,76000,0
RCCOFFAOPEN1.PL,D,20181123,000000,3.41,3.41,3.41,3.41,1002,0
RCCOFFAOPEN1.PL,D,20181126,000000,3.36,3.36,3.36,3.36,5807,0
RCCOFFAOPEN1.PL,D,20181130,000000,3.41,3.41,3.27,3.27,15000,0
RCCOFFAOPEN1.PL,D,20181203,000000,3.26,3.33,3.26,3.33,16000,0
RCCOFFAOPEN1.PL,D,20181204,000000,3.25,3.26,3.24,3.26,4150,0
RCCOFFAOPEN1.PL,D,20181205,000000,3.23,3.23,3.23,3.23,1000,0
RCCOFFAOPEN1.PL,D,20181206,000000,3.23,3.23,3.18,3.18,4513,0
RCCOFFAOPEN1.PL,D,20181210,000000,3.16,3.16,3.16,3.16,2002,0
RCCOFFAOPEN1.PL,D,20181212,000000,3.12,3.12,3.12,3.12,530,0
RCCOFFAOPEN1.PL,D,20181214,000000,3.14,3.14,3.14,3.14,955,0
RCCOFFAOPEN1.PL,D,20181217,000000,3.1,3.1,3.1,3.1,500,0
RCCOFFAOPEN1.PL,D,20181218,000000,3.04,3.04,3.02,3.04,7452,0
RCCOFFAOPEN1.PL,D,20181219,000000,3.01,3.06,3,3.06,1690,0
RCCOFFAOPEN1.PL,D,20181220,000000,3.08,3.08,3.08,3.08,339,0
RCCOFFAOPEN1.PL,D,20181221,000000,3.05,3.05,3.02,3.02,164400,0
RCCOFFAOPEN1.PL,D,20181227,000000,3.1,3.1,3.1,3.1,82200,0
RCCOFFAOPEN1.PL,D,20181228,000000,3.07,3.07,3.07,3.07,500,0
RCCOFFAOPEN1.PL,D,20190102,000000,3.06,3.06,3.06,3.06,400,0
RCCOFFAOPEN1.PL,D,20190103,000000,3.03,3.04,3.03,3.04,11100,0
RCCOFFAOPEN1.PL,D,20190104,000000,3.09,3.09,3.08,3.08,6425,0
RCCOFFAOPEN1.PL,D,20190107,000000,3.05,3.05,3.05,3.05,170,0
RCCOFFAOPEN1.PL,D,20190108,000000,3.1,3.2,3.1,3.2,10320,0
RCCOFFAOPEN1.PL,D,20190110,000000,3.17,3.17,3.17,3.17,500,0
