<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2CORN.PL,D,20180425,000000,6.92,6.92,6.92,6.92,4,0
RCFL2CORN.PL,D,20190318,000000,5.25,5.25,5.25,5.25,200,0
RCFL2CORN.PL,D,20190521,000000,5.61,5.61,5.61,5.61,200,0
RCFL2CORN.PL,D,20190522,000000,5.55,5.55,5.53,5.53,540,0
RCFL2CORN.PL,D,20190702,000000,5.8,5.8,5.8,5.8,180,0
RCFL2CORN.PL,D,20190806,000000,5.62,5.62,5.62,5.62,360,0
RCFL2CORN.PL,D,20200319,000000,3.84,3.84,3.84,3.84,5000,0
RCFL2CORN.PL,D,20200320,000000,3.92,3.92,3.92,3.92,5000,0
RCFL2CORN.PL,D,20200323,000000,3.89,3.89,3.89,3.89,1000,0
RCFL2CORN.PL,D,20200324,000000,3.87,3.87,3.86,3.86,7000,0
RCFL2CORN.PL,D,20200325,000000,3.96,3.96,3.96,3.96,5000,0
RCFL2CORN.PL,D,20200326,000000,3.91,3.91,3.91,3.91,500,0
RCFL2CORN.PL,D,20200327,000000,3.87,3.87,3.87,3.87,1500,0
RCFL2CORN.PL,D,20200331,000000,3.78,3.78,3.78,3.78,4000,0
RCFL2CORN.PL,D,20200402,000000,3.72,3.72,3.72,3.72,1000,0
RCFL2CORN.PL,D,20200403,000000,3.73,3.73,3.73,3.73,10000,0
RCFL2CORN.PL,D,20200406,000000,3.57,3.57,3.54,3.54,29200,0
RCFL2CORN.PL,D,20200407,000000,3.53,3.53,3.53,3.53,1800,0
RCFL2CORN.PL,D,20200408,000000,3.61,3.61,3.61,3.61,1915,0
RCFL2CORN.PL,D,20200414,000000,3.56,3.56,3.56,3.56,1072,0
RCFL2CORN.PL,D,20200420,000000,3.33,3.33,3.33,3.33,2000,0
RCFL2CORN.PL,D,20200421,000000,3.15,3.15,3.15,3.15,2000,0
RCFL2CORN.PL,D,20200422,000000,3.13,3.13,3.13,3.13,11000,0
RCFL2CORN.PL,D,20200423,000000,3.41,3.41,3.41,3.41,500,0
RCFL2CORN.PL,D,20200511,000000,3.17,3.17,3.17,3.17,500,0
RCFL2CORN.PL,D,20200701,000000,3.46,3.46,3.41,3.41,2000,0
RCFL2CORN.PL,D,20200709,000000,3.47,3.52,3.47,3.52,2,0
RCFL2CORN.PL,D,20200716,000000,3.04,3.04,3.04,3.04,1,0
RCFL2CORN.PL,D,20200717,000000,3.13,3.13,3.13,3.13,1,0
RCFL2CORN.PL,D,20200724,000000,2.93,2.93,2.93,2.93,1,0
RCFL2CORN.PL,D,20200805,000000,2.57,2.57,2.57,2.57,1500,0
RCFL2CORN.PL,D,20200807,000000,2.59,2.6,2.59,2.6,2000,0
RCFL2CORN.PL,D,20200817,000000,2.85,2.85,2.85,2.85,1,0
RCFL2CORN.PL,D,20200819,000000,2.8,2.8,2.8,2.8,2000,0
RCFL2CORN.PL,D,20200820,000000,2.75,2.75,2.74,2.74,2,0
RCFL2CORN.PL,D,20200821,000000,2.84,2.84,2.78,2.78,3010,0
RCFL2CORN.PL,D,20200824,000000,2.87,2.87,2.87,2.87,1,0
RCFL2CORN.PL,D,20200825,000000,2.95,3.04,2.95,3.04,4000,0
RCFL2CORN.PL,D,20200826,000000,3.07,3.07,3.07,3.07,1,0
RCFL2CORN.PL,D,20200827,000000,3.09,3.12,3.09,3.12,3,0
RCFL2CORN.PL,D,20200831,000000,3.2,3.2,3.2,3.2,1,0
RCFL2CORN.PL,D,20200902,000000,3.1,3.1,3.1,3.1,1,0
RCFL2CORN.PL,D,20200903,000000,3.09,3.09,3.09,3.09,9,0
RCFL2CORN.PL,D,20200909,000000,3.14,3.14,3.14,3.14,1000,0
RCFL2CORN.PL,D,20200910,000000,3.21,3.26,3.21,3.26,2,0
RCFL2CORN.PL,D,20200911,000000,3.26,3.33,3.26,3.33,1002,0
RCFL2CORN.PL,D,20200914,000000,3.36,3.36,3.26,3.26,3604,0
RCFL2CORN.PL,D,20200915,000000,3.25,3.25,3.25,3.25,1200,0
RCFL2CORN.PL,D,20200916,000000,3.3,3.3,3.3,3.3,415,0
RCFL2CORN.PL,D,20200917,000000,3.34,3.34,3.34,3.34,3000,0
RCFL2CORN.PL,D,20200918,000000,3.44,3.44,3.43,3.43,4500,0
RCFL2CORN.PL,D,20200922,000000,3.38,3.38,3.38,3.38,3000,0
RCFL2CORN.PL,D,20200924,000000,3.29,3.29,3.29,3.29,4000,0
RCFL2CORN.PL,D,20201001,000000,3.59,3.59,3.58,3.58,29000,0
RCFL2CORN.PL,D,20201008,000000,3.7,3.7,3.7,3.7,14000,0
RCFL2CORN.PL,D,20201009,000000,3.7,3.7,3.69,3.69,3300,0
RCFL2CORN.PL,D,20201012,000000,3.83,3.84,3.83,3.84,2072,0
