<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3BAYG1.PL,D,20180828,000000,6.16,6.16,6.16,6.16,20,0
RCFL3BAYG1.PL,D,20181228,000000,2.11,2.11,2.11,2.11,20,0
RCFL3BAYG1.PL,D,20190220,000000,2.88,2.88,2.88,2.88,350,0
RCFL3BAYG1.PL,D,20190306,000000,3.48,3.48,3.48,3.48,350,0
RCFL3BAYG1.PL,D,20190314,000000,2.76,2.78,2.76,2.77,1226,0
RCFL3BAYG1.PL,D,20190322,000000,1.9,1.9,1.9,1.9,1226,0
RCFL3BAYG1.PL,D,20190425,000000,2.08,2.08,1.89,1.89,20000,0
RCFL3BAYG1.PL,D,20190429,000000,2,2,2,2,10,0
RCFL3BAYG1.PL,D,20190517,000000,1.68,1.68,1.68,1.68,5,0
RCFL3BAYG1.PL,D,20190523,000000,1.55,1.55,1.52,1.52,510,0
RCFL3BAYG1.PL,D,20190524,000000,1.43,1.43,1.43,1.43,500,0
RCFL3BAYG1.PL,D,20190704,000000,1.93,1.93,1.93,1.93,1,0
RCFL3BAYG1.PL,D,20190712,000000,1.79,1.79,1.78,1.78,2001,0
RCFL3BAYG1.PL,D,20190722,000000,1.83,1.83,1.83,1.83,10,0
RCFL3BAYG1.PL,D,20190814,000000,2.34,2.34,2.29,2.29,2660,0
RCFL3BAYG1.PL,D,20200102,000000,3.01,3.01,3.01,3.01,6,0
RCFL3BAYG1.PL,D,20200303,000000,2.2,2.2,2.2,2.2,500,0
RCFL3BAYG1.PL,D,20200304,000000,2.17,2.17,2.17,2.17,10000,0
RCFL3BAYG1.PL,D,20200417,000000,1.32,1.34,1.32,1.34,15000,0
RCFL3BAYG1.PL,D,20200423,000000,1.37,1.37,1.37,1.37,15000,0
RCFL3BAYG1.PL,D,20200427,000000,1.46,1.48,1.46,1.48,14000,0
RCFL3BAYG1.PL,D,20200519,000000,1.53,1.53,1.53,1.53,100,0
RCFL3BAYG1.PL,D,20200610,000000,1.95,1.96,1.95,1.96,8774,0
RCFL3BAYG1.PL,D,20200629,000000,1.8,1.8,1.8,1.8,7000,0
RCFL3BAYG1.PL,D,20200630,000000,1.77,1.77,1.77,1.77,15874,0
RCFL3BAYG1.PL,D,20200728,000000,1.23,1.23,1.23,1.23,800,0
