<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3FW202.PL,D,20181203,000000,11.67,11.67,11.67,11.67,500,0
RCFL3FW202.PL,D,20181206,000000,11.35,11.35,11.35,11.35,500,0
RCFL3FW202.PL,D,20181220,000000,11.17,11.17,11.17,11.17,150,0
RCFL3FW202.PL,D,20190122,000000,11.53,11.53,11.53,11.53,150,0
RCFL3FW202.PL,D,20190517,000000,9.17,9.17,9.17,9.17,160,0
RCFL3FW202.PL,D,20190612,000000,10.38,10.38,10.38,10.38,160,0
RCFL3FW202.PL,D,20190802,000000,9.82,9.82,9.82,9.82,150,0
RCFL3FW202.PL,D,20190806,000000,9,9,9,9,160,0
RCFL3FW202.PL,D,20190830,000000,8.64,8.64,8.64,8.64,180,0
RCFL3FW202.PL,D,20190911,000000,9.26,9.26,9.26,9.26,180,0
RCFL3FW202.PL,D,20191022,000000,9.27,9.27,9.27,9.27,310,0
RCFL3FW202.PL,D,20191205,000000,7.94,7.94,7.94,7.94,180,0
RCFL3FW202.PL,D,20200108,000000,8.21,8.21,8.21,8.21,180,0
RCFL3FW202.PL,D,20200128,000000,7.67,7.67,7.67,7.67,200,0
RCFL3FW202.PL,D,20200214,000000,7.85,7.85,7.85,7.85,200,0
RCFL3FW202.PL,D,20200303,000000,5.38,5.38,5.26,5.26,500,0
RCFL3FW202.PL,D,20200306,000000,4.38,4.42,4.38,4.38,5666,0
RCFL3FW202.PL,D,20200309,000000,3.61,3.61,3.37,3.37,13059,0
RCFL3FW202.PL,D,20200310,000000,3.4,3.53,3.4,3.53,7793,0
RCFL3FW202.PL,D,20200311,000000,3.1,3.1,2.67,2.67,1500,0
RCFL3FW202.PL,D,20200312,000000,2.02,2.02,1.71,1.71,19390,0
RCFL3FW202.PL,D,20200313,000000,1.82,1.93,1.82,1.93,1400,0
RCFL3FW202.PL,D,20200316,000000,1.42,1.42,1.4,1.41,6436,0
RCFL3FW202.PL,D,20200317,000000,1.78,1.78,1.77,1.77,5436,0
RCFL3FW202.PL,D,20200318,000000,1.99,1.99,1.99,1.99,200,0
RCFL3FW202.PL,D,20200319,000000,2.03,2.03,2.03,2.03,2199,0
RCFL3FW202.PL,D,20200320,000000,2.27,2.27,2.27,2.27,625,0
RCFL3FW202.PL,D,20200323,000000,1.9,2.12,1.9,1.93,3925,0
RCFL3FW202.PL,D,20200324,000000,2.12,2.12,2.12,2.12,2000,0
RCFL3FW202.PL,D,20200325,000000,2.08,2.08,2.08,2.08,111,0
RCFL3FW202.PL,D,20200326,000000,2.17,2.17,2.17,2.17,111,0
RCFL3FW202.PL,D,20200327,000000,2.23,2.23,2.23,2.23,300,0
RCFL3FW202.PL,D,20200331,000000,2.4,2.4,2.4,2.4,800,0
RCFL3FW202.PL,D,20200406,000000,2.54,2.54,2.54,2.54,2000,0
RCFL3FW202.PL,D,20200407,000000,2.91,2.93,2.91,2.92,2900,0
RCFL3FW202.PL,D,20200408,000000,2.61,2.61,2.61,2.61,150,0
RCFL3FW202.PL,D,20200409,000000,2.71,2.71,2.71,2.71,550,0
RCFL3FW202.PL,D,20200415,000000,2.76,2.76,2.76,2.76,200,0
RCFL3FW202.PL,D,20200416,000000,2.7,2.74,2.7,2.74,3200,0
RCFL3FW202.PL,D,20200417,000000,2.82,2.82,2.82,2.82,3000,0
RCFL3FW202.PL,D,20200421,000000,2.78,2.78,2.6,2.6,801,0
RCFL3FW202.PL,D,20200424,000000,2.82,2.82,2.82,2.82,100,0
RCFL3FW202.PL,D,20200428,000000,2.73,2.73,2.73,2.73,140,0
RCFL3FW202.PL,D,20200429,000000,2.83,2.99,2.83,2.99,271,0
RCFL3FW202.PL,D,20200504,000000,2.7,2.7,2.7,2.7,200,0
RCFL3FW202.PL,D,20200506,000000,2.53,2.53,2.53,2.53,111,0
RCFL3FW202.PL,D,20200526,000000,3.09,3.09,3.09,3.09,200,0
RCFL3FW202.PL,D,20200604,000000,3.67,3.67,3.67,3.67,150,0
RCFL3FW202.PL,D,20200605,000000,4,4,3.94,3.94,1449,0
RCFL3FW202.PL,D,20200608,000000,4.01,4.05,4.01,4.05,570,0
RCFL3FW202.PL,D,20200609,000000,3.94,3.94,3.94,3.94,100,0
RCFL3FW202.PL,D,20200612,000000,3.58,3.66,3.58,3.66,470,0
RCFL3FW202.PL,D,20200630,000000,3.45,3.45,3.45,3.45,122,0
RCFL3FW202.PL,D,20200717,000000,3.68,3.68,3.68,3.68,200,0
RCFL3FW202.PL,D,20200722,000000,3.89,3.89,3.89,3.89,300,0
RCFL3FW202.PL,D,20200811,000000,3.9,3.9,3.9,3.9,822,0
