<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4BPL.PL,D,20200326,000000,0.53,0.53,0.5,0.5,24,0
RCFL4BPL.PL,D,20200408,000000,0.48,0.48,0.48,0.48,3,0
RCFL4BPL.PL,D,20200414,000000,0.5,0.5,0.45,0.45,70,0
RCFL4BPL.PL,D,20200420,000000,0.34,0.34,0.34,0.34,100,0
RCFL4BPL.PL,D,20200424,000000,0.37,0.37,0.37,0.37,100,0
RCFL4BPL.PL,D,20200430,000000,0.38,0.38,0.38,0.38,20,0
RCFL4BPL.PL,D,20200504,000000,0.29,0.29,0.29,0.29,40,0
RCFL4BPL.PL,D,20200511,000000,0.31,0.36,0.31,0.36,54,0
RCFL4BPL.PL,D,20200513,000000,0.32,0.32,0.32,0.32,30,0
RCFL4BPL.PL,D,20200520,000000,0.27,0.27,0.27,0.27,433,0
RCFL4BPL.PL,D,20200901,000000,0.14,0.14,0.14,0.14,5000,0
