<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4JMT.PL,D,20190717,000000,11.66,11.66,11.66,11.66,2,0
RCFL4JMT.PL,D,20190718,000000,11.54,11.57,11.52,11.57,712,0
RCFL4JMT.PL,D,20190722,000000,10.55,10.55,10.5,10.5,91,0
RCFL4JMT.PL,D,20190724,000000,10.7,10.7,10.24,10.4,3,0
RCFL4JMT.PL,D,20190729,000000,10.33,10.83,10.31,10.83,4200,0
RCFL4JMT.PL,D,20190730,000000,10.55,10.55,10.52,10.52,2800,0
RCFL4JMT.PL,D,20190731,000000,10.74,10.74,10.74,10.74,30,0
RCFL4JMT.PL,D,20190802,000000,10.35,10.35,10.14,10.14,621,0
RCFL4JMT.PL,D,20190808,000000,10.62,10.62,10.62,10.62,90,0
RCFL4JMT.PL,D,20190813,000000,9.28,9.28,9.28,9.28,30,0
RCFL4JMT.PL,D,20190819,000000,10.8,10.8,10.8,10.8,2821,0
RCFL4JMT.PL,D,20190823,000000,10.22,10.22,10.22,10.22,2800,0
RCFL4JMT.PL,D,20190830,000000,11.15,11.15,11.15,11.15,4600,0
RCFL4JMT.PL,D,20190926,000000,12.34,12.34,12.34,12.34,112,0
RCFL4JMT.PL,D,20191115,000000,10.25,10.25,10.25,10.25,3870,0
RCFL4JMT.PL,D,20191120,000000,10.15,10.15,10.15,10.15,545,0
RCFL4JMT.PL,D,20200115,000000,13.31,13.31,13.31,13.31,4415,0
RCFL4JMT.PL,D,20200313,000000,7,7,7,7,3,0
RCFL4JMT.PL,D,20200319,000000,9.49,9.49,9.49,9.49,608,0
RCFL4JMT.PL,D,20200324,000000,10.72,10.72,10.72,10.72,608,0
RCFL4JMT.PL,D,20200327,000000,11.48,11.48,11.48,11.48,3,0
RCFL4JMT.PL,D,20200401,000000,10,10.36,10,10.36,4000,0
RCFL4JMT.PL,D,20200408,000000,9.29,9.29,8.99,9.02,4000,0
RCFL4JMT.PL,D,20200415,000000,10.24,10.7,10.2,10.7,1050,0
RCFL4JMT.PL,D,20200416,000000,10.3,10.3,10.3,10.3,2000,0
RCFL4JMT.PL,D,20200422,000000,10.17,10.17,10.17,10.17,3000,0
RCFL4JMT.PL,D,20200423,000000,11.44,11.44,11.15,11.15,2400,0
RCFL4JMT.PL,D,20200427,000000,10.11,10.11,10.11,10.11,2000,0
RCFL4JMT.PL,D,20200428,000000,9.7,9.7,9.7,9.7,54,0
RCFL4JMT.PL,D,20200504,000000,8.99,8.99,8.99,8.99,886,0
RCFL4JMT.PL,D,20200514,000000,5.5,5.59,3.87,3.87,3471,0
RCFL4JMT.PL,D,20200527,000000,6.61,6.61,6.61,6.61,20,0
RCFL4JMT.PL,D,20200612,000000,7.67,7.67,7.67,7.67,350,0
RCFL4JMT.PL,D,20200622,000000,8.57,8.57,8.57,8.57,4980,0
RCFL4JMT.PL,D,20200708,000000,7.1,7.1,7.1,7.1,3200,0
RCFL4JMT.PL,D,20200717,000000,6.82,6.82,6.82,6.82,1000,0
RCFL4JMT.PL,D,20200720,000000,6.84,6.84,6.84,6.84,1000,0
RCFL4JMT.PL,D,20200728,000000,6.18,6.18,6.18,6.18,970,0
RCFL4JMT.PL,D,20200730,000000,4.82,4.88,4.82,4.86,1565,0
RCFL4JMT.PL,D,20200731,000000,5.5,5.5,5.5,5.5,1090,0
RCFL4JMT.PL,D,20200803,000000,5.9,5.9,5.89,5.89,46,0
RCFL4JMT.PL,D,20200901,000000,4.86,4.86,4.86,4.86,1640,0
RCFL4JMT.PL,D,20201007,000000,5.53,5.53,5.53,5.53,50,0
