<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL6PLAT2.PL,D,20200610,000000,8.49,8.49,8.49,8.49,1500,0
RCFL6PLAT2.PL,D,20200612,000000,6.06,6.06,6.06,6.06,1500,0
RCFL6PLAT2.PL,D,20200721,000000,8.6,8.6,8.54,8.58,866,0
RCFL6PLAT2.PL,D,20200722,000000,9.85,9.85,9.85,9.85,507,0
RCFL6PLAT2.PL,D,20200723,000000,11.36,11.36,10.12,11.2,2373,0
RCFL6PLAT2.PL,D,20200724,000000,9.5,10.16,9.5,10.16,1200,0
RCFL6PLAT2.PL,D,20200727,000000,12.42,12.42,11.2,11.7,1186,0
RCFL6PLAT2.PL,D,20200728,000000,10.06,10.06,10.06,10.06,150,0
RCFL6PLAT2.PL,D,20200810,000000,11.36,11.4,11.36,11.4,175,0
RCFL6PLAT2.PL,D,20200812,000000,9.58,9.58,7.85,7.85,344,0
RCFL6PLAT2.PL,D,20200813,000000,9.36,9.39,9.16,9.16,1300,0
RCFL6PLAT2.PL,D,20200814,000000,9.2,9.2,9.2,9.2,394,0
RCFL6PLAT2.PL,D,20200818,000000,10.22,10.22,9.47,9.47,2438,0
RCFL6PLAT2.PL,D,20200819,000000,8.57,8.71,8.49,8.71,593,0
RCFL6PLAT2.PL,D,20200824,000000,7.68,7.68,7.68,7.68,1000,0
RCFL6PLAT2.PL,D,20200826,000000,7.17,7.58,7.14,7.58,1600,0
RCFL6PLAT2.PL,D,20200827,000000,7.58,8.11,6.95,6.95,2091,0
RCFL6PLAT2.PL,D,20200828,000000,7.82,7.82,7.68,7.68,161,0
RCFL6PLAT2.PL,D,20200831,000000,7.66,7.66,7.66,7.66,2000,0
RCFL6PLAT2.PL,D,20200901,000000,8.2,8.2,8,8,2070,0
RCFL6PLAT2.PL,D,20200902,000000,7.58,7.77,6.06,6.06,7872,0
RCFL6PLAT2.PL,D,20200904,000000,5.86,5.86,5.86,5.86,65,0
RCFL6PLAT2.PL,D,20200907,000000,5.82,5.85,5.82,5.85,153,0
RCFL6PLAT2.PL,D,20200908,000000,5.37,5.37,5.37,5.37,3600,0
RCFL6PLAT2.PL,D,20200910,000000,6.92,7.06,6.92,7.06,4058,0
RCFL6PLAT2.PL,D,20200911,000000,7.33,7.33,7.33,7.33,100,0
RCFL6PLAT2.PL,D,20200914,000000,8.02,8.05,8.01,8.01,1350,0
RCFL6PLAT2.PL,D,20200915,000000,8.21,8.21,8.21,8.21,2000,0
RCFL6PLAT2.PL,D,20200916,000000,8.55,8.55,8.55,8.55,88,0
RCFL6PLAT2.PL,D,20200918,000000,6.93,6.93,6.6,6.6,2347,0
RCFL6PLAT2.PL,D,20200921,000000,5.68,5.68,3.58,3.68,7660,0
RCFL6PLAT2.PL,D,20200922,000000,4.27,4.59,4.27,4.59,2206,0
RCFL6PLAT2.PL,D,20200923,000000,3.49,3.49,3.49,3.49,390,0
RCFL6PLAT2.PL,D,20200924,000000,3.1,3.1,3.01,3.01,160,0
RCFL6PLAT2.PL,D,20200925,000000,3.49,3.49,3.49,3.49,160,0
RCFL6PLAT2.PL,D,20201006,000000,4.29,4.29,4,4,2125,0
RCFL6PLAT2.PL,D,20201007,000000,3.3,3.3,3.3,3.3,597,0
RCFL6PLAT2.PL,D,20201008,000000,3.42,3.42,3.42,3.42,2000,0
RCFL6PLAT2.PL,D,20201009,000000,3.86,3.89,3.86,3.89,1653,0
RCFL6PLAT2.PL,D,20201012,000000,3.74,3.74,3.74,3.74,58,0
RCFL6PLAT2.PL,D,20201016,000000,3.27,3.4,3.27,3.4,3140,0
