<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL6WHT.PL,D,20190517,000000,14.36,14.36,14.36,14.36,109,0
RCFL6WHT.PL,D,20190521,000000,16.32,16.32,16.32,16.32,109,0
RCFL6WHT.PL,D,20190703,000000,16.27,16.27,16.27,16.27,200,0
RCFL6WHT.PL,D,20190712,000000,18.51,18.51,18.51,18.51,200,0
RCFL6WHT.PL,D,20190801,000000,11.72,11.72,11.72,11.72,5,0
RCFL6WHT.PL,D,20190809,000000,13.49,13.49,13.49,13.49,500,0
RCFL6WHT.PL,D,20190905,000000,7.35,7.35,7.35,7.35,6,0
RCFL6WHT.PL,D,20191001,000000,11.3,11.3,11.3,11.3,235,0
RCFL6WHT.PL,D,20191002,000000,10.06,10.06,10.06,10.06,235,0
RCFL6WHT.PL,D,20191011,000000,10.99,11.17,10.99,11.17,1000,0
RCFL6WHT.PL,D,20191017,000000,13.55,13.55,13.55,13.55,200,0
RCFL6WHT.PL,D,20191028,000000,12.22,12.22,12.22,12.22,100,0
RCFL6WHT.PL,D,20191029,000000,11.9,11.9,11.9,11.9,100,0
RCFL6WHT.PL,D,20191106,000000,12.2,12.2,12.2,12.2,6,0
RCFL6WHT.PL,D,20191129,000000,14.04,14.04,14.04,14.04,700,0
RCFL6WHT.PL,D,20191202,000000,15.24,15.24,15.24,15.24,4,0
RCFL6WHT.PL,D,20191203,000000,15.37,15.37,15.37,15.37,768,0
RCFL6WHT.PL,D,20191204,000000,12.19,12.19,12.19,12.19,768,0
RCFL6WHT.PL,D,20191223,000000,15.24,15.24,15.24,15.24,1,0
RCFL6WHT.PL,D,20200102,000000,17.47,17.47,17.47,17.47,2,0
RCFL6WHT.PL,D,20200107,000000,15.48,15.48,15.48,15.48,100,0
RCFL6WHT.PL,D,20200110,000000,18.3,18.3,18.3,18.3,100,0
RCFL6WHT.PL,D,20200205,000000,18.25,18.25,18.25,18.25,500,0
RCFL6WHT.PL,D,20200213,000000,14.87,14.87,14.87,14.87,55,0
RCFL6WHT.PL,D,20200219,000000,17.12,17.12,16.34,16.34,200,0
RCFL6WHT.PL,D,20200221,000000,17.88,17.88,17.73,17.73,951,0
RCFL6WHT.PL,D,20200224,000000,14.12,14.12,13.9,13.9,200,0
RCFL6WHT.PL,D,20200226,000000,13.31,13.31,13.31,13.31,100,0
RCFL6WHT.PL,D,20200228,000000,10.88,10.88,10.88,10.88,500,0
RCFL6WHT.PL,D,20200304,000000,10.6,10.6,10.6,10.6,450,0
RCFL6WHT.PL,D,20200317,000000,8.25,8.86,8.25,8.78,520,0
RCFL6WHT.PL,D,20200319,000000,10.96,11.68,10.96,11.68,1200,0
RCFL6WHT.PL,D,20200320,000000,14.26,14.26,14.26,14.26,100,0
RCFL6WHT.PL,D,20200324,000000,15.92,15.92,15.55,15.55,550,0
RCFL6WHT.PL,D,20200325,000000,19,19,19,19,55,0
RCFL6WHT.PL,D,20200326,000000,18.97,18.97,18.97,18.97,200,0
RCFL6WHT.PL,D,20200403,000000,14.4,14.4,14.34,14.34,180,0
RCFL6WHT.PL,D,20200406,000000,15.59,15.59,15.59,15.59,100,0
RCFL6WHT.PL,D,20200408,000000,14.35,14.35,14.35,14.35,34,0
RCFL6WHT.PL,D,20200420,000000,12.46,12.46,12.46,12.46,34,0
RCFL6WHT.PL,D,20200423,000000,12.65,13.56,12.65,13.5,333,0
RCFL6WHT.PL,D,20200424,000000,12.75,12.75,12.75,12.75,25,0
RCFL6WHT.PL,D,20200427,000000,10.13,10.13,10.13,10.13,100,0
RCFL6WHT.PL,D,20200429,000000,9.36,9.36,9.36,9.36,160,0
RCFL6WHT.PL,D,20200430,000000,8.45,8.63,8.45,8.63,666,0
RCFL6WHT.PL,D,20200504,000000,8.31,8.31,8.31,8.31,25,0
RCFL6WHT.PL,D,20200507,000000,9.97,9.97,9.97,9.97,99,0
RCFL6WHT.PL,D,20200513,000000,8.35,8.35,8.35,8.35,200,0
RCFL6WHT.PL,D,20200514,000000,7.42,7.42,7.42,7.42,25,0
RCFL6WHT.PL,D,20200515,000000,7.78,7.78,7.78,7.78,65,0
RCFL6WHT.PL,D,20200529,000000,8.37,8.37,8.37,8.37,23,0
RCFL6WHT.PL,D,20200601,000000,8.25,8.25,8.25,8.25,65,0
RCFL6WHT.PL,D,20200603,000000,7.5,7.7,7.5,7.7,151,0
RCFL6WHT.PL,D,20200605,000000,8.9,8.9,7.76,7.76,74,0
RCFL6WHT.PL,D,20200608,000000,7.49,7.83,7.38,7.38,1842,0
RCFL6WHT.PL,D,20200609,000000,7.1,7.1,7.1,7.1,100,0
RCFL6WHT.PL,D,20200612,000000,6.21,6.27,6.21,6.27,312,0
RCFL6WHT.PL,D,20200617,000000,5.93,5.93,5.93,5.93,125,0
RCFL6WHT.PL,D,20200619,000000,5.43,5.43,5.43,5.43,18,0
RCFL6WHT.PL,D,20200622,000000,4.94,4.94,4.94,4.94,580,0
RCFL6WHT.PL,D,20200701,000000,5.83,5.83,5.83,5.83,1000,0
RCFL6WHT.PL,D,20200709,000000,7.4,7.4,7.4,7.4,85,0
RCFL6WHT.PL,D,20200714,000000,7.98,7.98,7.98,7.98,200,0
RCFL6WHT.PL,D,20200717,000000,8.62,8.62,8.62,8.62,115,0
RCFL6WHT.PL,D,20200728,000000,6.57,6.57,6.57,6.57,1115,0
RCFL6WHT.PL,D,20200916,000000,6.28,6.28,6.28,6.28,120,0
RCFL6WHT.PL,D,20200921,000000,8.91,8.91,8.91,8.91,130,0
RCFL6WHT.PL,D,20200922,000000,7.45,7.45,7.45,7.45,1500,0
