<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3BMW.PL,D,20180626,000000,8.02,8.02,8.02,8.02,13,0
RCFS3BMW.PL,D,20180627,000000,7.81,7.81,7.81,7.81,13,0
RCFS3BMW.PL,D,20180730,000000,6.52,6.52,6.52,6.52,800,0
RCFS3BMW.PL,D,20180802,000000,7.25,7.25,7.25,7.25,800,0
RCFS3BMW.PL,D,20180809,000000,5.88,5.88,5.88,5.88,680,0
RCFS3BMW.PL,D,20180921,000000,5.57,5.57,5.57,5.57,100,0
RCFS3BMW.PL,D,20180924,000000,5.68,5.68,5.68,5.68,100,0
RCFS3BMW.PL,D,20180925,000000,6.8,6.8,6.8,6.8,1480,0
RCFS3BMW.PL,D,20181008,000000,7.46,7.46,7.46,7.46,400,0
RCFS3BMW.PL,D,20181029,000000,7.3,7.3,7.21,7.21,2000,0
RCFS3BMW.PL,D,20181030,000000,7.41,7.42,7.41,7.42,2000,0
RCFS3BMW.PL,D,20181113,000000,8.74,8.74,8.38,8.38,250,0
RCFS3BMW.PL,D,20190409,000000,7.12,7.12,7.12,7.12,88,0
RCFS3BMW.PL,D,20190410,000000,7.07,7.07,7.07,7.07,52,0
RCFS3BMW.PL,D,20190412,000000,6.41,6.41,6.41,6.41,140,0
RCFS3BMW.PL,D,20190905,000000,8.5,8.5,8.5,8.5,117,0
RCFS3BMW.PL,D,20200110,000000,4.55,4.55,4.55,4.55,300,0
RCFS3BMW.PL,D,20200116,000000,5.2,5.2,5.2,5.2,300,0
RCFS3BMW.PL,D,20200121,000000,5.18,5.18,5.18,5.18,300,0
RCFS3BMW.PL,D,20200127,000000,5.85,5.85,5.85,5.85,300,0
RCFS3BMW.PL,D,20200302,000000,9.12,9.12,9.11,9.11,525,0
RCFS3BMW.PL,D,20200303,000000,8.68,8.74,8.68,8.74,525,0
RCFS3BMW.PL,D,20200319,000000,28.27,28.27,28.27,28.27,26,0
RCFS3BMW.PL,D,20200320,000000,22.14,22.14,22.14,22.14,26,0
RCFS3BMW.PL,D,20200331,000000,10.8,10.8,10.79,10.79,9260,0
RCFS3BMW.PL,D,20200401,000000,12.28,12.28,12.28,12.28,9260,0
RCFS3BMW.PL,D,20200406,000000,9.79,9.79,9.75,9.75,10200,0
RCFS3BMW.PL,D,20200408,000000,8.57,8.57,8.57,8.57,10000,0
RCFS3BMW.PL,D,20200604,000000,3.17,3.18,3.17,3.18,15000,0
RCFS3BMW.PL,D,20200803,000000,3.28,3.28,3.28,3.28,10000,0
RCFS3BMW.PL,D,20200804,000000,2.83,2.83,2.83,2.83,30,0
RCFS3BMW.PL,D,20201002,000000,2.02,2.03,2.02,2.03,35000,0
RCFS3BMW.PL,D,20201005,000000,1.91,1.91,1.82,1.82,25000,0
RCFS3BMW.PL,D,20201006,000000,1.8,1.8,1.8,1.8,10000,0
