<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3CDPRO.PL,D,20200514,000000,6.81,6.94,6.77,6.94,410,0
RCFS3CDPRO.PL,D,20200522,000000,5.42,5.42,5.42,5.42,500,0
RCFS3CDPRO.PL,D,20200525,000000,4.96,4.96,4.96,4.96,500,0
RCFS3CDPRO.PL,D,20200527,000000,5.08,5.69,5.08,5.69,3755,0
RCFS3CDPRO.PL,D,20200529,000000,4.66,4.79,4.66,4.72,287,0
RCFS3CDPRO.PL,D,20200602,000000,5.05,5.32,5.05,5.32,477,0
RCFS3CDPRO.PL,D,20200603,000000,5.24,5.24,5.24,5.24,30,0
RCFS3CDPRO.PL,D,20200605,000000,5.02,5.02,5.02,5.02,700,0
RCFS3CDPRO.PL,D,20200608,000000,5.63,5.63,5.63,5.63,1000,0
RCFS3CDPRO.PL,D,20200612,000000,5.23,5.23,5.21,5.23,24294,0
RCFS3CDPRO.PL,D,20200615,000000,5.38,5.68,5.38,5.68,295,0
RCFS3CDPRO.PL,D,20200618,000000,4.8,4.8,4.8,4.8,57,0
RCFS3CDPRO.PL,D,20200619,000000,5.42,5.42,5.25,5.25,318,0
RCFS3CDPRO.PL,D,20200625,000000,4.25,4.25,4.25,4.25,200,0
RCFS3CDPRO.PL,D,20200626,000000,4.13,4.65,4.13,4.65,2300,0
RCFS3CDPRO.PL,D,20200629,000000,4.58,4.58,4.41,4.46,1695,0
RCFS3CDPRO.PL,D,20200630,000000,4.27,4.27,4.27,4.27,45,0
RCFS3CDPRO.PL,D,20200701,000000,4.83,4.83,4.83,4.83,600,0
RCFS3CDPRO.PL,D,20200702,000000,4.16,4.16,4.16,4.16,600,0
RCFS3CDPRO.PL,D,20200703,000000,4.15,4.15,4.15,4.15,320,0
RCFS3CDPRO.PL,D,20200708,000000,4.58,4.58,4.28,4.28,1800,0
RCFS3CDPRO.PL,D,20200709,000000,4.64,4.79,4.64,4.79,1000,0
RCFS3CDPRO.PL,D,20200710,000000,5.15,5.22,5.07,5.22,20472,0
RCFS3CDPRO.PL,D,20200713,000000,5.18,5.4,5.18,5.4,11716,0
RCFS3CDPRO.PL,D,20200714,000000,6,6.38,6,6.38,200,0
RCFS3CDPRO.PL,D,20200715,000000,5.79,5.79,5.37,5.37,26141,0
RCFS3CDPRO.PL,D,20200717,000000,5.57,5.57,5.37,5.37,9406,0
RCFS3CDPRO.PL,D,20200721,000000,4.76,4.87,4.76,4.87,15150,0
RCFS3CDPRO.PL,D,20200722,000000,4.9,5.06,4.9,5.06,600,0
RCFS3CDPRO.PL,D,20200723,000000,4.63,4.63,4.63,4.63,1250,0
