<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3FW202.PL,D,20181107,000000,7.66,7.66,7.66,7.66,200,0
RCFS3FW202.PL,D,20181113,000000,8,8,8,8,200,0
RCFS3FW202.PL,D,20181121,000000,8.35,8.35,8.35,8.35,200,0
RCFS3FW202.PL,D,20181130,000000,7.4,7.4,7.4,7.4,200,0
RCFS3FW202.PL,D,20181213,000000,7.3,7.3,7.3,7.3,150,0
RCFS3FW202.PL,D,20190111,000000,6.71,6.71,6.71,6.71,120,0
RCFS3FW202.PL,D,20190123,000000,6.25,6.25,6.25,6.25,120,0
RCFS3FW202.PL,D,20190131,000000,6.37,6.37,6.32,6.32,270,0
RCFS3FW202.PL,D,20190208,000000,6.57,6.57,6.57,6.57,240,0
RCFS3FW202.PL,D,20190227,000000,6.49,6.49,6.49,6.49,240,0
RCFS3FW202.PL,D,20190509,000000,7.65,7.65,7.65,7.65,120,0
RCFS3FW202.PL,D,20190513,000000,8.12,8.12,8.12,8.12,400,0
RCFS3FW202.PL,D,20190708,000000,6.41,6.41,6.41,6.41,110,0
RCFS3FW202.PL,D,20190712,000000,6.62,6.62,6.62,6.62,100,0
RCFS3FW202.PL,D,20190715,000000,6.58,6.58,6.58,6.58,220,0
RCFS3FW202.PL,D,20190802,000000,7.4,7.4,7.4,7.4,220,0
RCFS3FW202.PL,D,20190806,000000,7.88,7.88,7.88,7.88,210,0
RCFS3FW202.PL,D,20190821,000000,8.37,8.37,8.37,8.37,85,0
RCFS3FW202.PL,D,20190830,000000,8,8,8,8,85,0
RCFS3FW202.PL,D,20200302,000000,12.4,12.4,12.4,12.4,120,0
RCFS3FW202.PL,D,20200303,000000,10.22,10.22,10.22,10.22,120,0
RCFS3FW202.PL,D,20200309,000000,14.84,14.84,14.84,14.84,150,0
RCFS3FW202.PL,D,20200313,000000,22.25,22.25,22.25,22.25,200,0
RCFS3FW202.PL,D,20200316,000000,27.26,27.26,27.26,27.26,100,0
RCFS3FW202.PL,D,20200317,000000,20.85,20.85,18.68,18.68,192,0
RCFS3FW202.PL,D,20200320,000000,15.13,15.13,15.13,15.13,200,0
RCFS3FW202.PL,D,20200326,000000,17.35,17.35,17,17,100,0
RCFS3FW202.PL,D,20200401,000000,16.27,16.27,16.27,16.27,33,0
RCFS3FW202.PL,D,20200406,000000,13.85,13.85,13.85,13.85,150,0
RCFS3FW202.PL,D,20200420,000000,12.11,12.11,12.11,12.11,35,0
RCFS3FW202.PL,D,20200421,000000,12.8,12.8,12.8,12.8,150,0
RCFS3FW202.PL,D,20200518,000000,11.21,11.21,11.21,11.21,150,0
RCFS3FW202.PL,D,20200527,000000,9.11,9.11,9.11,9.11,33,0
RCFS3FW202.PL,D,20200529,000000,9.52,9.52,9.52,9.52,50,0
