<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3WHT.PL,D,20180309,000000,6.39,6.39,6.39,6.39,1000,0
RCFS3WHT.PL,D,20180316,000000,7.27,7.29,7.27,7.29,20499,0
RCFS3WHT.PL,D,20180319,000000,7.75,7.8,7.75,7.8,19814,0
RCFS3WHT.PL,D,20180322,000000,7.67,7.68,7.67,7.68,40313,0
RCFS3WHT.PL,D,20180323,000000,7.88,7.95,7.88,7.95,500,0
RCFS3WHT.PL,D,20180326,000000,7.57,7.57,7.57,7.57,250,0
RCFS3WHT.PL,D,20180328,000000,8.4,8.4,8.4,8.4,600,0
RCFS3WHT.PL,D,20180403,000000,7.61,7.61,7.61,7.61,600,0
RCFS3WHT.PL,D,20180409,000000,6.55,6.55,6.55,6.55,250,0
RCFS3WHT.PL,D,20180502,000000,5.54,5.7,5.49,5.49,3000,0
RCFS3WHT.PL,D,20180605,000000,5.93,5.93,5.93,5.93,2000,0
RCFS3WHT.PL,D,20180606,000000,5.3,5.3,5.3,5.3,1500,0
RCFS3WHT.PL,D,20180611,000000,5.49,5.49,5.49,5.49,100,0
RCFS3WHT.PL,D,20180614,000000,6.25,6.25,6.25,6.25,500,0
RCFS3WHT.PL,D,20180619,000000,6.89,7.37,6.89,7.37,1000,0
RCFS3WHT.PL,D,20180620,000000,6.71,6.71,6.71,6.71,1000,0
RCFS3WHT.PL,D,20180625,000000,6.77,6.9,6.77,6.9,1700,0
RCFS3WHT.PL,D,20180626,000000,7.15,7.15,7.15,7.15,500,0
RCFS3WHT.PL,D,20180628,000000,7.2,7.2,7.2,7.2,500,0
RCFS3WHT.PL,D,20180712,000000,7.06,7.06,7.06,7.06,3200,0
RCFS3WHT.PL,D,20180810,000000,4.29,4.29,4.29,4.29,250,0
RCFS3WHT.PL,D,20180817,000000,4.62,4.62,4.62,4.62,250,0
RCFS3WHT.PL,D,20190722,000000,5.19,5.19,5.01,5.01,384,0
