<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS5COCO.PL,D,20190416,000000,6.5,6.69,6.5,6.69,6030,0
RCFS5COCO.PL,D,20190423,000000,6.62,6.62,6.62,6.62,6030,0
RCFS5COCO.PL,D,20190429,000000,6.2,6.2,6.2,6.2,4050,0
RCFS5COCO.PL,D,20190502,000000,6.5,6.5,6.27,6.27,4880,0
RCFS5COCO.PL,D,20190510,000000,6.5,6.5,6.5,6.5,8930,0
RCFS5COCO.PL,D,20190920,000000,4.24,4.27,4.21,4.24,40200,0
RCFS5COCO.PL,D,20190923,000000,4.17,4.3,4.17,4.27,13833,0
RCFS5COCO.PL,D,20190924,000000,4.36,4.46,4.22,4.22,8254,0
RCFS5COCO.PL,D,20190925,000000,4.41,4.44,4.23,4.23,3200,0
RCFS5COCO.PL,D,20190926,000000,4.25,4.25,3.99,4,7402,0
RCFS5COCO.PL,D,20190927,000000,3.94,3.99,3.92,3.98,4503,0
RCFS5COCO.PL,D,20190930,000000,4.18,4.27,4.12,4.27,6054,0
RCFS5COCO.PL,D,20191003,000000,4.02,4.02,4.02,4.02,1500,0
RCFS5COCO.PL,D,20191004,000000,3.7,3.7,3.65,3.65,19000,0
RCFS5COCO.PL,D,20191007,000000,4.12,4.55,4.12,4.55,74432,0
RCFS5COCO.PL,D,20191008,000000,4.24,4.24,4.24,4.24,250,0
RCFS5COCO.PL,D,20191009,000000,4.5,4.53,4.49,4.52,2800,0
RCFS5COCO.PL,D,20191011,000000,4.04,4.04,3.28,3.28,2200,0
RCFS5COCO.PL,D,20191014,000000,3.8,3.82,3.8,3.82,2200,0
RCFS5COCO.PL,D,20191015,000000,3.84,3.84,3.55,3.55,850,0
RCFS5COCO.PL,D,20191017,000000,3.3,3.51,3.27,3.51,1010,0
RCFS5COCO.PL,D,20191018,000000,3.7,3.7,3.7,3.7,800,0
RCFS5COCO.PL,D,20191021,000000,3.7,3.88,3.7,3.88,705,0
RCFS5COCO.PL,D,20191022,000000,3.8,3.88,3.66,3.88,1655,0
RCFS5COCO.PL,D,20191023,000000,3.96,3.96,3.96,3.96,860,0
RCFS5COCO.PL,D,20191024,000000,3.7,3.84,3.7,3.84,505,0
RCFS5COCO.PL,D,20191025,000000,3.85,4,3.85,4,495,0
RCFS5COCO.PL,D,20191112,000000,3.25,3.25,2.64,2.64,5793,0
RCFS5COCO.PL,D,20191113,000000,2.78,2.78,2.57,2.57,2200,0
RCFS5COCO.PL,D,20191114,000000,2.74,2.74,2.45,2.55,101907,0
RCFS5COCO.PL,D,20191118,000000,2.44,2.45,2.4,2.45,29036,0
RCFS5COCO.PL,D,20191119,000000,2.51,2.51,2.51,2.51,2,0
RCFS5COCO.PL,D,20191120,000000,2.52,2.68,2.52,2.68,132998,0
RCFS5COCO.PL,D,20191121,000000,2.69,2.69,2.69,2.69,10,0
RCFS5COCO.PL,D,20191122,000000,2.69,2.69,2.69,2.69,6,0
RCFS5COCO.PL,D,20191125,000000,2.75,2.75,2.75,2.75,6,0
RCFS5COCO.PL,D,20191127,000000,2.76,2.86,2.76,2.86,6,0
RCFS5COCO.PL,D,20191202,000000,2.91,3.07,2.91,3.07,1566,0
RCFS5COCO.PL,D,20191206,000000,2.72,2.72,2.72,2.72,250,0
RCFS5COCO.PL,D,20191209,000000,2.79,2.79,2.7,2.7,305,0
RCFS5COCO.PL,D,20191210,000000,2.76,2.87,2.76,2.87,10,0
RCFS5COCO.PL,D,20191211,000000,2.9,2.9,2.9,2.9,1,0
RCFS5COCO.PL,D,20191212,000000,3.07,3.11,3.07,3.11,258,0
RCFS5COCO.PL,D,20191217,000000,3.15,3.15,3.15,3.15,5,0
RCFS5COCO.PL,D,20191219,000000,3.18,3.45,3.18,3.45,1110,0
RCFS5COCO.PL,D,20191220,000000,3.55,3.6,3.55,3.6,605,0
RCFS5COCO.PL,D,20200121,000000,1.71,1.71,1.71,1.71,400,0
RCFS5COCO.PL,D,20200122,000000,1.61,1.61,1.59,1.59,800,0
RCFS5COCO.PL,D,20200123,000000,1.75,1.75,1.75,1.75,1210,0
