<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCGBSH10921.PL,D,20180109,000000,952.8,952.8,952.8,952.8,20,0
RCGBSH10921.PL,D,20180123,000000,953.8,953.8,953.8,953.8,10,0
RCGBSH10921.PL,D,20180315,000000,962.6,962.6,962.6,962.6,37,0
RCGBSH10921.PL,D,20180316,000000,962.4,962.4,962.4,962.4,12,0
RCGBSH10921.PL,D,20180328,000000,963.8,963.8,963.8,963.8,90,0
RCGBSH10921.PL,D,20180427,000000,960.2,960.2,960.2,960.2,56,0
RCGBSH10921.PL,D,20180613,000000,963.8,963.8,963.8,963.8,11,0
RCGBSH10921.PL,D,20180626,000000,961.3,961.3,961.3,961.3,46,0
RCGBSH10921.PL,D,20180705,000000,962.8,962.8,962.8,962.8,4,0
RCGBSH10921.PL,D,20180712,000000,964.8,964.8,964.8,964.8,3,0
RCGBSH10921.PL,D,20180803,000000,982.8,982.8,982.8,982.8,2,0
RCGBSH10921.PL,D,20180814,000000,983.5,983.5,983.5,983.5,2,0
RCGBSH10921.PL,D,20180820,000000,990.4,990.4,990.4,990.4,3,0
RCGBSH10921.PL,D,20180822,000000,991.9,991.9,991.9,991.9,31,0
RCGBSH10921.PL,D,20180828,000000,992.9,992.9,992.9,992.9,5,0
RCGBSH10921.PL,D,20180913,000000,989,989,989,989,70,0
RCGBSH10921.PL,D,20180928,000000,993,993,993,993,44,0
RCGBSH10921.PL,D,20181026,000000,981.7,981.7,981.7,981.7,23,0
RCGBSH10921.PL,D,20181113,000000,987.9,987.9,987.9,987.9,31,0
RCGBSH10921.PL,D,20181126,000000,989.1,989.1,989.1,989.1,104,0
RCGBSH10921.PL,D,20181214,000000,981.8,981.8,981.8,981.8,20,0
RCGBSH10921.PL,D,20190124,000000,987.3,987.3,987.3,987.3,20,0
RCGBSH10921.PL,D,20190212,000000,994.8,994.8,994.8,994.8,20,0
RCGBSH10921.PL,D,20190218,000000,997.3,997.3,997.3,997.3,10,0
RCGBSH10921.PL,D,20190314,000000,1003.5,1003.5,1003.5,1003.5,50,0
RCGBSH10921.PL,D,20190417,000000,1003.7,1003.7,1003.7,1003.7,16,0
RCGBSH10921.PL,D,20190423,000000,1002.4,1002.4,1002.4,1002.4,18,0
RCGBSH10921.PL,D,20190508,000000,1005.4,1005.4,1005.4,1005.4,42,0
RCGBSH10921.PL,D,20190510,000000,1007.7,1007.7,1007.7,1007.7,61,0
RCGBSH10921.PL,D,20190514,000000,1005.9,1005.9,1005.9,1005.9,134,0
RCGBSH10921.PL,D,20190521,000000,1004.9,1004.9,1004.9,1004.9,20,0
RCGBSH10921.PL,D,20190522,000000,1006.1,1006.1,1006.1,1006.1,47,0
RCGBSH10921.PL,D,20190527,000000,1008,1008,1008,1008,19,0
RCGBSH10921.PL,D,20190529,000000,1004.2,1004.2,1004.2,1004.2,196,0
RCGBSH10921.PL,D,20190619,000000,1014.2,1014.2,1014.2,1014.2,31,0
RCGBSH10921.PL,D,20190624,000000,1012.7,1012.7,1012.7,1012.7,135,0
RCGBSH10921.PL,D,20190822,000000,1019.2,1019.3,1019.2,1019.3,500,0
RCGBSH10921.PL,D,20190905,000000,1024.5,1024.5,1024.5,1024.5,10,0
RCGBSH10921.PL,D,20190916,000000,1020.6,1020.6,1020.6,1020.6,31,0
RCGBSH10921.PL,D,20190917,000000,1021.6,1021.6,1021.6,1021.6,105,0
RCGBSH10921.PL,D,20191127,000000,1047.3,1047.3,1047.3,1047.3,1280,0
RCGBSH10921.PL,D,20191204,000000,1043.7,1043.7,1043.7,1043.7,30,0
RCGBSH10921.PL,D,20191210,000000,1047.8,1047.8,1047.8,1047.8,148,0
RCGBSH10921.PL,D,20200113,000000,1054.5,1054.5,1054.5,1054.5,69,0
RCGBSH10921.PL,D,20200115,000000,1054.1,1054.1,1054.1,1054.1,5,0
RCGBSH10921.PL,D,20200116,000000,1056.4,1056.4,1056.4,1056.4,50,0
RCGBSH10921.PL,D,20200205,000000,1052,1052,1052,1052,90,0
RCGBSH10921.PL,D,20200211,000000,1066.2,1066.2,1066.2,1066.2,150,0
RCGBSH10921.PL,D,20200217,000000,1062.3,1062.3,1062.3,1062.3,21,0
RCGBSH10921.PL,D,20200303,000000,1047,1047,1047,1047,55,0
RCGBSH10921.PL,D,20200305,000000,1047.2,1047.2,1047.2,1047.2,45,0
RCGBSH10921.PL,D,20200317,000000,1028.1,1028.1,1028.1,1028.1,80,0
RCGBSH10921.PL,D,20200320,000000,1032.8,1032.8,1032.8,1032.8,20,0
RCGBSH10921.PL,D,20200415,000000,1053.6,1053.6,1053.6,1053.6,40,0
RCGBSH10921.PL,D,20200429,000000,1068.8,1068.8,1068.8,1068.8,12,0
RCGBSH10921.PL,D,20200511,000000,1067.4,1067.4,1067.4,1067.4,7,0
RCGBSH10921.PL,D,20200519,000000,1075.9,1075.9,1075.9,1075.9,70,0
