<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCGETNA1222.PL,D,20180313,000000,973.6,973.6,973.6,973.6,50,0
RCGETNA1222.PL,D,20180801,000000,916.6,916.6,916.6,916.6,72,0
RCGETNA1222.PL,D,20180906,000000,915,915,915,915,55,0
RCGETNA1222.PL,D,20181113,000000,890.6,890.6,890.6,890.6,22,0
RCGETNA1222.PL,D,20181126,000000,891.8,891.8,891.8,891.8,50,0
RCGETNA1222.PL,D,20190215,000000,898,898,898,898,11,0
RCGETNA1222.PL,D,20190401,000000,908.6,908.6,908.6,908.6,7,0
RCGETNA1222.PL,D,20190423,000000,907.4,907.4,907.4,907.4,11,0
RCGETNA1222.PL,D,20190705,000000,930,930,930,930,11,0
RCGETNA1222.PL,D,20190807,000000,937.2,937.2,937.2,937.2,201,0
RCGETNA1222.PL,D,20190820,000000,950.6,950.6,950.6,950.6,101,0
RCGETNA1222.PL,D,20191023,000000,943.2,943.2,943.2,943.2,40,0
RCGETNA1222.PL,D,20191029,000000,945,945,945,945,6,0
RCGETNA1222.PL,D,20200131,000000,963.8,963.8,963.8,963.8,3,0
RCGETNA1222.PL,D,20200228,000000,978.2,978.2,978.2,978.2,20,0
RCGETNA1222.PL,D,20200316,000000,945.1,945.1,945.1,945.1,103,0
RCGETNA1222.PL,D,20200922,000000,982,982,982,982,30,0
