<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCLOILAOPEN1.PL,D,20200626,000000,165,165,165,165,30,0
RCLOILAOPEN1.PL,D,20200701,000000,169,169,166,166,12,0
RCLOILAOPEN1.PL,D,20200709,000000,169,169,169,169,12,0
RCLOILAOPEN1.PL,D,20200727,000000,165,165,165,165,6,0
RCLOILAOPEN1.PL,D,20200730,000000,160,160,160,160,6,0
RCLOILAOPEN1.PL,D,20200805,000000,168,168,168,168,6,0
RCLOILAOPEN1.PL,D,20200901,000000,168,168,168,168,534,0
RCLOILAOPEN1.PL,D,20200903,000000,161,161,161,161,20,0
RCLOILAOPEN1.PL,D,20200907,000000,157.8,157.8,157.8,157.8,6,0
RCLOILAOPEN1.PL,D,20200908,000000,155,155,150,150,13,0
RCLOILAOPEN1.PL,D,20200917,000000,155.2,155.2,155.2,155.2,7,0
RCLOILAOPEN1.PL,D,20200918,000000,160,160,160,160,6,0
RCLOILAOPEN1.PL,D,20201001,000000,156.4,156.4,153,153,13,0
RCLOILAOPEN1.PL,D,20201002,000000,149.2,149.2,149.2,149.2,100,0
RCLOILAOPEN1.PL,D,20201006,000000,156.6,156.6,156.6,156.6,7,0
RCLOILAOPEN1.PL,D,20201009,000000,159.6,159.6,159.6,159.6,100,0
RCLOILAOPEN1.PL,D,20201015,000000,161,161,161,161,6,0
