<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCTLCORN06.PL,D,20181102,000000,5.8,5.8,5.8,5.8,14,0
RCTLCORN06.PL,D,20200210,000000,4.15,4.15,4.15,4.15,264,0
RCTLCORN06.PL,D,20200313,000000,3.48,3.48,3.48,3.48,372,0
RCTLCORN06.PL,D,20200324,000000,2.74,2.74,2.74,2.74,520,0
RCTLCORN06.PL,D,20200608,000000,1.86,1.89,1.86,1.87,4210,0
RCTLCORN06.PL,D,20200615,000000,1.67,1.67,1.66,1.66,1000,0
RCTLCORN06.PL,D,20200618,000000,1.86,1.86,1.86,1.86,1600,0
RCTLCORN06.PL,D,20200625,000000,1.39,1.39,1.1,1.1,985,0
RCTLCORN06.PL,D,20200701,000000,2.11,2.27,2.1,2.27,2500,0
RCTLCORN06.PL,D,20200707,000000,1.99,1.99,1.99,1.99,6099,0
RCTLCORN06.PL,D,20200709,000000,2.33,2.33,2.33,2.33,2194,0
RCTLCORN06.PL,D,20200814,000000,1.15,1.15,1.15,1.15,2965,0
RCTLCORN06.PL,D,20200817,000000,1.36,1.36,1.36,1.36,2565,0
RCTLCORN06.PL,D,20200820,000000,1.13,1.13,1.13,1.13,1275,0
RCTLCORN06.PL,D,20200821,000000,1.3,1.3,1.3,1.3,1,0
RCTLCORN06.PL,D,20200824,000000,1.36,1.36,1.36,1.36,1,0
RCTLCORN06.PL,D,20200825,000000,1.66,1.74,1.66,1.74,2,0
RCTLCORN06.PL,D,20200826,000000,1.78,1.78,1.78,1.78,3836,0
RCTLCORN06.PL,D,20200901,000000,1.83,1.83,1.83,1.83,1090,0
RCTLCORN06.PL,D,20200903,000000,1.93,1.93,1.93,1.93,1090,0
RCTLCORN06.PL,D,20200928,000000,2.27,2.27,2.27,2.27,636,0
RCTLCORN06.PL,D,20201009,000000,3.15,3.15,3.15,3.15,3485,0
