<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRIGONPP1.PL,D,20160809,000000,129,129,126,129,4,0
TRIGONPP1.PL,D,20160810,000000,129,129.7,129,129.7,2,0
TRIGONPP1.PL,D,20160811,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160812,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160816,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160817,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160818,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160819,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160822,000000,129.7,129.7,129.7,129.7,11,0
TRIGONPP1.PL,D,20160823,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160824,000000,129.7,129.7,129.7,129.7,5,0
TRIGONPP1.PL,D,20160825,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160826,000000,129.7,129.7,129.7,129.7,2,0
TRIGONPP1.PL,D,20160829,000000,129.7,129.9,129.7,129.9,2,0
TRIGONPP1.PL,D,20160830,000000,129.9,129.9,129.9,129.9,36,0
TRIGONPP1.PL,D,20160831,000000,129.9,129.9,129.9,129.9,2,0
TRIGONPP1.PL,D,20160901,000000,129.9,130,129.9,130,35,0
TRIGONPP1.PL,D,20160915,000000,134.49,134.49,134.49,134.49,10,0
TRIGONPP1.PL,D,20160927,000000,134.49,134.49,134.49,134.49,2,0
TRIGONPP1.PL,D,20160928,000000,130,130,130,130,80,0
TRIGONPP1.PL,D,20161006,000000,130,130.5,130,130.5,2,0
TRIGONPP1.PL,D,20161007,000000,130.5,130.5,130.5,130.5,1,0
TRIGONPP1.PL,D,20161010,000000,130.5,132,130.5,132,4,0
TRIGONPP1.PL,D,20161012,000000,132,132,132,132,7,0
TRIGONPP1.PL,D,20161021,000000,132,132,132,132,10,0
TRIGONPP1.PL,D,20161027,000000,134,134,134,134,40,0
TRIGONPP1.PL,D,20161215,000000,134.99,134.99,134.99,134.99,1,0
TRIGONPP1.PL,D,20170105,000000,134.95,135,134.95,135,239,0
TRIGONPP1.PL,D,20170112,000000,136.95,136.95,136.95,136.95,1,0
TRIGONPP1.PL,D,20170113,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170116,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170117,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170118,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170119,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170120,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170123,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170124,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170125,000000,136.95,136.95,136.95,136.95,2,0
TRIGONPP1.PL,D,20170126,000000,136.95,136.95,136,136.5,218,0
TRIGONPP1.PL,D,20170127,000000,136.5,136.95,136.5,136.95,200,0
TRIGONPP1.PL,D,20170130,000000,136.95,145,136.95,145,69,0
TRIGONPP1.PL,D,20170131,000000,141.5,141.5,141.3,141.3,2,0
TRIGONPP1.PL,D,20170201,000000,141.3,141.3,141.3,141.3,2,0
TRIGONPP1.PL,D,20170202,000000,141.3,141.3,140.85,140.85,2,0
TRIGONPP1.PL,D,20170203,000000,140.69,140.99,140.69,140.99,2,0
TRIGONPP1.PL,D,20170206,000000,140.9,140.9,140.84,140.84,2,0
TRIGONPP1.PL,D,20170207,000000,140.84,140.84,140.84,140.84,174,0
TRIGONPP1.PL,D,20170208,000000,141,145,141,145,20,0
TRIGONPP1.PL,D,20170209,000000,145,148,145,148,2,0
TRIGONPP1.PL,D,20170210,000000,148,148,144.5,146.8,37,0
TRIGONPP1.PL,D,20170213,000000,146.8,146.8,142.5,142.5,37,0
TRIGONPP1.PL,D,20170214,000000,146.8,146.8,142.5,142.5,23,0
TRIGONPP1.PL,D,20170314,000000,141,141.45,141,141.45,51,0
TRIGONPP1.PL,D,20170315,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170316,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170317,000000,141.45,141.45,141.45,141.45,1,0
TRIGONPP1.PL,D,20170320,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170321,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170322,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170323,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170324,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170327,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170328,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170329,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170330,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170331,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170403,000000,141.45,141.45,141.45,141.45,1,0
TRIGONPP1.PL,D,20170404,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170405,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170406,000000,141.45,141.45,141.45,141.45,2,0
TRIGONPP1.PL,D,20170407,000000,141.45,141.45,141.45,141.45,1,0
TRIGONPP1.PL,D,20170410,000000,141.45,141.45,136.1,136.1,33,0
TRIGONPP1.PL,D,20170411,000000,137,138.5,137,138.5,21,0
TRIGONPP1.PL,D,20170412,000000,138.5,138.51,138,138.51,50,0
TRIGONPP1.PL,D,20170413,000000,140,140,140,140,1,0
TRIGONPP1.PL,D,20170418,000000,139.94,139.94,139.89,139.89,2,0
TRIGONPP1.PL,D,20170419,000000,139.8,139.8,139.8,139.8,1,0
TRIGONPP1.PL,D,20170420,000000,139.89,139.89,139.74,139.74,2,0
TRIGONPP1.PL,D,20170421,000000,139.45,139.45,139.45,139.45,1,0
TRIGONPP1.PL,D,20170424,000000,138.95,138.95,138.95,138.95,1,0
TRIGONPP1.PL,D,20170425,000000,139.64,139.64,139.64,139.64,1,0
TRIGONPP1.PL,D,20170426,000000,139.25,139.25,139.25,139.25,1,0
TRIGONPP1.PL,D,20170427,000000,139.95,139.95,139.95,139.95,1,0
TRIGONPP1.PL,D,20170428,000000,139.3,139.3,139.3,139.3,1,0
TRIGONPP1.PL,D,20170502,000000,139.94,139.94,139.55,139.55,2,0
TRIGONPP1.PL,D,20170504,000000,138.9,138.9,138.9,138.9,1,0
TRIGONPP1.PL,D,20170505,000000,138.9,138.9,138.9,138.9,1,0
TRIGONPP1.PL,D,20170508,000000,140,140,136,136,31,0
TRIGONPP1.PL,D,20170509,000000,139.9,139.9,136,136,31,0
TRIGONPP1.PL,D,20170510,000000,139.9,139.9,139.9,139.9,1,0
TRIGONPP1.PL,D,20170511,000000,139.9,139.9,139.9,139.9,1,0
TRIGONPP1.PL,D,20170512,000000,139.9,139.9,139.9,139.9,1,0
