<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBASM20,D,20190930,000000,7892.00,7892.00,7892.00,7892.00,1,1
FBASM20,D,20191209,000000,8501,8501,8501,8501,10,11
FBASM20,D,20191223,000000,8574,8574,8574,8574,5,16
FBASM20,D,20200220,000000,7497,7497,7497,7497,5,21
FBASM20,D,20200508,000000,5700.00,5735.00,5700.00,5735.00,2,23
FBASM20,D,20200511,000000,5765.00,5765.00,5765.00,5765.00,1,24
FBASM20,D,20200519,000000,6156.00,6170.00,6156.00,6170.00,2,24
FBASM20,D,20200520,000000,6138.00,6138.00,6138.00,6138.00,1,24
FBASM20,D,20200526,000000,6219.00,6219.00,6219.00,6219.00,1,24
FBASM20,D,20200529,000000,6483.00,6530.00,6478.00,6530.00,3,24
FBASM20,D,20200602,000000,7083.00,7083.00,7083.00,7083.00,1,24
FBASM20,D,20200603,000000,7256.00,7256.00,7256.00,7256.00,1,24
FBASM20,D,20200605,000000,7790.00,7790.00,7790.00,7790.00,1,25
FBASM20,D,20200608,000000,7774.00,7774.00,7720.00,7720.00,2,25
FBASM20,D,20200609,000000,7715.00,7715.00,7715.00,7715.00,1,24
FBASM20,D,20200612,000000,8978.00,8978.00,8978.00,8978.00,1,24
FBASM20,D,20200615,000000,8420.00,8420.00,8420.00,8420.00,4,24
FBASM20,D,20200616,000000,8514.00,8565.00,8501.00,8565.00,4,23
