<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBMLZ20,D,20201005,000000,18.27,18.85,17.70,17.70,165,141
FBMLZ20,D,20201006,000000,18.70,19.50,17.60,18.79,553,397
FBMLZ20,D,20201007,000000,18.20,19.20,18.20,19.10,126,416
FBMLZ20,D,20201008,000000,19.40,20.54,19.05,20.08,258,542
FBMLZ20,D,20201009,000000,20.55,22.30,19.90,20.20,453,764
FBMLZ20,D,20201012,000000,20.39,21.40,18.73,19.40,152,771
FBMLZ20,D,20201013,000000,19.33,19.33,16.95,17.20,163,816
FBMLZ20,D,20201014,000000,17.20,17.20,15.80,16.88,171,794
FBMLZ20,D,20201015,000000,16.88,19.40,15.40,19.30,361,787
FBMLZ20,D,20201016,000000,20.3,20.3,18.25,18.25,74,802
