<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCHFF20,D,20191025,000000,3.9,3.9,3.9,3.9,300,300
FCHFF20,D,20191028,000000,3.89,3.89,3.89,3.89,1,301
FCHFF20,D,20191031,000000,3.89,3.89,3.89,3.89,1,301
FCHFF20,D,20191112,000000,3.92,3.92,3.92,3.92,1,300
FCHFF20,D,20191115,000000,3.93,3.93,3.93,3.93,1,301
FCHFF20,D,20191128,000000,3.95,3.95,3.95,3.95,1,300
FCHFF20,D,20191129,000000,3.94,3.94,3.94,3.94,1,301
FCHFF20,D,20191202,000000,3.92,3.92,3.92,3.92,1,302
FCHFF20,D,20191213,000000,3.9,3.9,3.9,3.9,1,303
FCHFF20,D,20191219,000000,3.92,3.92,3.92,3.92,1,304
FCHFF20,D,20191220,000000,3.9177,3.925,3.9177,3.925,45,349
FCHFF20,D,20200103,000000,3.9268,3.9268,3.9268,3.9268,1,348
FCHFF20,D,20200113,000000,3.9237,3.9237,3.9237,3.9237,26,322
FCHFF20,D,20200114,000000,3.9155,3.9155,3.9144,3.9144,500,422
FCHFF20,D,20200116,000000,3.9401,3.9401,3.9401,3.9401,5,417
