<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCIGZ20,D,20200324,000000,0.56,0.56,0.55,0.55,2,2
FCIGZ20,D,20200325,000000,0.62,0.62,0.62,0.62,2,2
FCIGZ20,D,20200330,000000,0.59,0.59,0.59,0.59,2,3
FCIGZ20,D,20200331,000000,0.62,0.62,0.62,0.62,1,3
FCIGZ20,D,20200407,000000,0.62,0.62,0.62,0.62,1,2
FCIGZ20,D,20200422,000000,0.60,0.60,0.60,0.60,4,5
FCIGZ20,D,20200423,000000,0.67,0.67,0.67,0.67,2,7
FCIGZ20,D,20200514,000000,0.69,0.69,0.69,0.69,10,14
FCIGZ20,D,20200518,000000,0.69,0.69,0.69,0.69,10,24
FCIGZ20,D,20200714,000000,1.63,1.63,1.63,1.63,10,34
FCIGZ20,D,20200715,000000,1.86,1.86,1.86,1.86,2,36
FCIGZ20,D,20200716,000000,1.90,1.90,1.90,1.90,3,38
FCIGZ20,D,20200721,000000,1.81,1.81,1.81,1.81,2,38
FCIGZ20,D,20200728,000000,1.67,1.67,1.67,1.67,1,37
FCIGZ20,D,20200730,000000,1.43,1.43,1.43,1.43,1,36
FCIGZ20,D,20200731,000000,1.60,1.60,1.60,1.60,1,35
FCIGZ20,D,20200807,000000,1.41,1.41,1.41,1.41,1,35
FCIGZ20,D,20200812,000000,1.43,1.43,1.43,1.43,10,25
FCIGZ20,D,20200821,000000,1.47,1.47,1.47,1.47,1,25
FCIGZ20,D,20200824,000000,1.52,1.52,1.50,1.50,3,25
FCIGZ20,D,20200902,000000,1.43,1.43,1.30,1.34,58,75
FCIGZ20,D,20200903,000000,1.40,1.40,1.34,1.35,32,106
FCIGZ20,D,20200904,000000,1.35,1.35,1.33,1.33,16,121
FCIGZ20,D,20200907,000000,1.32,1.32,1.32,1.32,10,131
FCIGZ20,D,20200908,000000,1.20,1.22,1.15,1.22,45,168
FCIGZ20,D,20200909,000000,1.25,1.27,1.25,1.27,28,196
FCIGZ20,D,20200910,000000,1.26,1.28,1.26,1.26,21,214
FCIGZ20,D,20200914,000000,1.29,1.30,1.29,1.30,7,216
FCIGZ20,D,20200915,000000,1.31,1.40,1.31,1.40,5,219
FCIGZ20,D,20200916,000000,1.42,1.42,1.42,1.42,1,219
FCIGZ20,D,20200917,000000,1.36,1.36,1.36,1.36,1,219
FCIGZ20,D,20200918,000000,1.37,1.37,1.37,1.37,2,219
FCIGZ20,D,20200921,000000,1.31,1.31,1.31,1.31,4,217
FCIGZ20,D,20200922,000000,1.33,1.33,1.30,1.30,8,219
FCIGZ20,D,20200923,000000,1.27,1.29,1.27,1.28,8,218
FCIGZ20,D,20200924,000000,1.21,1.22,1.20,1.20,6,215
FCIGZ20,D,20200925,000000,1.35,1.37,1.30,1.30,10,210
FCIGZ20,D,20200928,000000,1.39,1.39,1.38,1.38,7,214
FCIGZ20,D,20200929,000000,1.40,1.52,1.40,1.47,42,237
FCIGZ20,D,20200930,000000,1.53,1.53,1.46,1.47,11,240
FCIGZ20,D,20201002,000000,1.38,1.39,1.35,1.35,6,242
FCIGZ20,D,20201005,000000,1.39,1.43,1.39,1.43,5,245
FCIGZ20,D,20201006,000000,1.45,1.45,1.39,1.43,37,223
FCIGZ20,D,20201008,000000,1.39,1.39,1.33,1.36,6,223
FCIGZ20,D,20201009,000000,1.32,1.32,1.29,1.29,11,220
FCIGZ20,D,20201012,000000,1.31,1.31,1.29,1.29,12,213
FCIGZ20,D,20201013,000000,1.30,1.30,1.23,1.26,25,199
FCIGZ20,D,20201014,000000,1.26,1.26,1.23,1.23,5,194
FCIGZ20,D,20201015,000000,1.24,1.24,1.19,1.19,13,191
FCIGZ20,D,20201016,000000,1.1863,1.1863,1.1863,1.1863,2,191
