<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLTSU20,D,20200109,000000,81,81,80.93,80.93,10,10
FLTSU20,D,20200121,000000,83.15,83.15,83.15,83.15,5,15
FLTSU20,D,20200122,000000,83.92,83.92,83.92,83.92,10,25
FLTSU20,D,20200124,000000,85.01,85.01,85.01,85.01,1,26
FLTSU20,D,20200129,000000,78.25,78.25,77.00,78.25,6,32
FLTSU20,D,20200130,000000,77.01,77.01,76.00,76.00,4,35
FLTSU20,D,20200131,000000,75.19,75.19,75.19,75.19,1,36
FLTSU20,D,20200204,000000,75.00,75.00,75.00,75.00,1,36
FLTSU20,D,20200205,000000,75.00,75.00,75.00,75.00,2,38
FLTSU20,D,20200207,000000,74.28,74.28,72,72,6,43
FLTSU20,D,20200210,000000,72.66,72.66,70.4,70.4,2,44
FLTSU20,D,20200217,000000,75,75.54,75,75.54,2,46
FLTSU20,D,20200218,000000,74.4,74.4,74.4,74.4,1,45
FLTSU20,D,20200221,000000,72.47,72.47,72.47,72.47,1,46
FLTSU20,D,20200224,000000,68.34,68.34,68,68,4,50
FLTSU20,D,20200225,000000,66.02,66.02,66.02,66.02,1,51
FLTSU20,D,20200226,000000,65.72,65.72,63.44,63.44,8,58
FLTSU20,D,20200227,000000,60.03,60.03,60.03,60.03,1,59
FLTSU20,D,20200228,000000,57.00,57.00,57.00,57.00,1,60
FLTSU20,D,20200302,000000,58.12,58.84,58.12,58.40,5,63
FLTSU20,D,20200303,000000,58.40,58.40,58.40,58.40,1,64
FLTSU20,D,20200306,000000,51.79,51.94,49.70,49.70,8,71
FLTSU20,D,20200310,000000,46.70,46.70,46.70,46.70,1,72
FLTSU20,D,20200311,000000,45.20,45.20,44.73,44.73,4,72
FLTSU20,D,20200312,000000,37.95,38.96,37.95,38.96,4,74
FLTSU20,D,20200313,000000,43.00,43.00,43.00,43.00,1,74
FLTSU20,D,20200318,000000,41.00,41.00,39.37,39.37,16,77
FLTSU20,D,20200323,000000,43.73,43.73,41.90,41.90,4,77
FLTSU20,D,20200326,000000,46.39,47.56,46.39,47.56,6,77
FLTSU20,D,20200327,000000,49.00,49.00,49.00,49.00,5,82
FLTSU20,D,20200331,000000,50.88,50.88,50.88,50.88,10,82
FLTSU20,D,20200402,000000,52.50,52.50,52.50,52.50,1,72
FLTSU20,D,20200403,000000,55.80,57.72,55.80,55.90,3,73
FLTSU20,D,20200406,000000,60.60,64.24,60.60,64.24,3,73
FLTSU20,D,20200407,000000,62.50,62.50,62.50,62.50,1,73
FLTSU20,D,20200409,000000,63.00,63.00,61.50,61.50,2,73
FLTSU20,D,20200414,000000,61.50,61.50,61.50,61.50,1,73
FLTSU20,D,20200415,000000,60.50,60.50,60.50,60.50,1,73
FLTSU20,D,20200416,000000,60.00,60.00,60.00,60.00,1,73
FLTSU20,D,20200417,000000,63.00,63.00,63.00,63.00,1,73
FLTSU20,D,20200420,000000,61.50,61.99,61.50,61.99,3,74
FLTSU20,D,20200421,000000,60.00,60.00,60.00,60.00,1,74
FLTSU20,D,20200505,000000,60.57,60.57,60.57,60.57,1,74
FLTSU20,D,20200507,000000,57.65,59.90,57.20,59.11,14,62
FLTSU20,D,20200508,000000,59.70,59.70,59.70,59.70,1,61
FLTSU20,D,20200513,000000,59.50,59.67,59.30,59.30,5,56
FLTSU20,D,20200514,000000,58.74,58.74,58.00,58.71,12,48
FLTSU20,D,20200515,000000,58.75,58.75,58.75,58.75,1,49
FLTSU20,D,20200518,000000,58.21,58.27,58.21,58.27,2,51
FLTSU20,D,20200520,000000,59.47,59.80,59.47,59.80,3,54
FLTSU20,D,20200522,000000,57.94,57.94,57.94,57.94,1,55
FLTSU20,D,20200525,000000,58.18,58.18,58.00,58.00,4,55
FLTSU20,D,20200526,000000,58.25,59.88,58.25,59.22,16,69
