<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLWBM20,D,20191223,000000,34.5,34.5,34.5,34.5,2,2
FLWBM20,D,20200110,000000,35.25,35.8,35.25,35.25,4,4
FLWBM20,D,20200113,000000,35.25,36.25,35.25,36.25,2,3
FLWBM20,D,20200114,000000,35.4,36.4,35.4,36.4,2,2
FLWBM20,D,20200211,000000,29.79,29.79,29.79,29.79,1,3
FLWBM20,D,20200212,000000,27.20,27.32,26.74,27.14,4,5
FLWBM20,D,20200219,000000,21.88,21.88,21.86,21.86,2,7
FLWBM20,D,20200220,000000,22,22,20.23,21.35,13,16
FLWBM20,D,20200225,000000,19.90,19.90,19.25,19.25,13,26
FLWBM20,D,20200227,000000,17.91,17.91,17.40,17.40,9,34
FLWBM20,D,20200228,000000,16.32,16.32,15.80,16.07,4,38
FLWBM20,D,20200302,000000,17.30,17.38,17.30,17.38,3,36
FLWBM20,D,20200303,000000,18.50,19.00,18.39,19.00,6,33
FLWBM20,D,20200304,000000,19.00,19.00,19.00,19.00,4,33
FLWBM20,D,20200309,000000,16.96,16.96,16.96,16.96,4,37
FLWBM20,D,20200310,000000,17.58,17.58,16.76,17.34,7,32
FLWBM20,D,20200311,000000,17.00,17.00,17.00,17.00,5,37
FLWBM20,D,20200312,000000,15.51,15.60,15.00,15.00,18,55
FLWBM20,D,20200313,000000,16.50,16.50,16.50,16.50,1,55
FLWBM20,D,20200316,000000,16.50,16.50,16.37,16.37,2,57
FLWBM20,D,20200317,000000,16.92,17.49,16.40,17.49,7,58
FLWBM20,D,20200318,000000,16.60,17.10,16.35,16.40,19,75
FLWBM20,D,20200319,000000,16.88,16.88,16.41,16.41,3,77
FLWBM20,D,20200320,000000,17.20,17.50,16.14,16.30,12,83
FLWBM20,D,20200323,000000,15.70,15.98,15.00,15.00,29,94
FLWBM20,D,20200324,000000,15.52,15.89,15.00,15.00,22,87
FLWBM20,D,20200325,000000,15.50,16.37,15.30,15.76,25,94
FLWBM20,D,20200326,000000,16.31,17.97,16.31,17.20,29,93
FLWBM20,D,20200327,000000,17.60,18.29,17.60,18.00,22,85
FLWBM20,D,20200330,000000,18.52,18.52,17.54,17.60,9,87
FLWBM20,D,20200331,000000,17.71,17.90,17.70,17.70,6,85
FLWBM20,D,20200401,000000,17.37,17.37,17.25,17.25,10,75
FLWBM20,D,20200402,000000,17.20,17.79,17.20,17.79,4,75
FLWBM20,D,20200403,000000,18.03,18.28,18.00,18.00,6,72
FLWBM20,D,20200406,000000,18.35,18.44,18.13,18.13,9,75
FLWBM20,D,20200407,000000,18.76,19.04,18.64,18.67,11,79
FLWBM20,D,20200408,000000,18.20,18.20,18.20,18.20,1,80
FLWBM20,D,20200409,000000,18.41,18.41,18.00,18.00,2,80
FLWBM20,D,20200414,000000,18.40,19.05,18.40,18.73,11,83
FLWBM20,D,20200415,000000,19.35,19.35,18.58,18.58,9,79
FLWBM20,D,20200416,000000,18.50,19.00,18.50,18.93,5,78
FLWBM20,D,20200417,000000,19.50,20.70,19.50,20.70,18,77
FLWBM20,D,20200420,000000,21.42,22.00,21.30,21.95,31,78
FLWBM20,D,20200421,000000,22.00,22.00,19.80,20.00,26,71
FLWBM20,D,20200422,000000,19.62,20.25,19.62,20.25,4,70
FLWBM20,D,20200423,000000,20.04,20.85,19.70,20.77,9,74
FLWBM20,D,20200424,000000,20.50,20.50,20.26,20.26,5,79
FLWBM20,D,20200427,000000,20.55,21.00,20.35,20.35,3,76
FLWBM20,D,20200428,000000,20.80,21.00,20.80,21.00,4,75
FLWBM20,D,20200429,000000,20.51,21.00,20.51,21.00,2,76
FLWBM20,D,20200430,000000,20.90,20.90,20.90,20.90,2,76
FLWBM20,D,20200505,000000,20.80,20.80,20.80,20.80,3,73
FLWBM20,D,20200506,000000,20.49,20.80,20.49,20.75,9,67
FLWBM20,D,20200507,000000,20.31,20.50,20.31,20.50,7,68
FLWBM20,D,20200508,000000,20.30,20.86,20.30,20.75,6,70
FLWBM20,D,20200511,000000,20.70,20.95,20.70,20.95,2,69
FLWBM20,D,20200512,000000,21.31,21.70,21.31,21.70,9,66
FLWBM20,D,20200513,000000,21.35,21.46,21.30,21.46,4,66
FLWBM20,D,20200514,000000,20.88,20.88,20.01,20.25,14,62
FLWBM20,D,20200515,000000,20.55,20.55,19.01,19.60,10,67
FLWBM20,D,20200518,000000,19.55,19.55,18.50,19.17,19,74
FLWBM20,D,20200519,000000,19.15,19.20,19.15,19.20,9,65
FLWBM20,D,20200520,000000,19.66,19.66,18.86,19.44,7,70
FLWBM20,D,20200521,000000,19.03,19.10,19.03,19.10,5,71
FLWBM20,D,20200522,000000,18.81,18.81,18.81,18.81,2,71
FLWBM20,D,20200525,000000,19.01,19.01,19.01,19.01,1,71
FLWBM20,D,20200526,000000,19.78,20.05,19.58,19.92,9,74
FLWBM20,D,20200527,000000,19.85,20.85,19.85,20.20,17,80
FLWBM20,D,20200529,000000,19.81,20.25,19.81,20.25,4,82
FLWBM20,D,20200601,000000,20.20,20.65,20.20,20.60,12,80
FLWBM20,D,20200602,000000,21.26,21.55,21.26,21.50,18,77
FLWBM20,D,20200603,000000,22.00,23.20,22.00,23.00,42,73
FLWBM20,D,20200604,000000,23.45,24.80,23.45,24.10,31,81
FLWBM20,D,20200605,000000,24.59,25.60,24.46,24.60,31,65
FLWBM20,D,20200608,000000,25.10,25.10,23.88,24.28,8,65
FLWBM20,D,20200609,000000,23.81,24.21,22.95,24.21,13,57
FLWBM20,D,20200610,000000,24.55,24.55,24.27,24.27,2,57
FLWBM20,D,20200612,000000,23.00,23.60,22.95,23.50,11,51
FLWBM20,D,20200615,000000,21.95,21.99,21.95,21.95,7,45
FLWBM20,D,20200616,000000,22.70,23.25,22.70,23.25,10,35
FLWBM20,D,20200617,000000,23.25,23.30,22.45,22.60,15,23
FLWBM20,D,20200619,000000,23.05,23.05,22.65,22.70,8,23
