<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOPLU20,D,20200116,000000,7.74,7.74,7.74,7.74,1,1
FOPLU20,D,20200311,000000,5.93,5.93,5.93,5.93,1,0
FOPLU20,D,20200603,000000,6.55,6.55,6.55,6.55,1,1
FOPLU20,D,20200615,000000,6.33,6.33,6.33,6.33,1,2
FOPLU20,D,20200617,000000,6.42,6.42,6.42,6.42,1,3
FOPLU20,D,20200618,000000,6.36,6.36,6.36,6.36,1,4
FOPLU20,D,20200619,000000,6.41,6.43,6.33,6.40,13,17
FOPLU20,D,20200622,000000,6.39,6.39,6.27,6.36,56,59
FOPLU20,D,20200623,000000,6.36,6.36,6.32,6.33,35,86
FOPLU20,D,20200624,000000,6.33,6.34,6.21,6.21,21,104
FOPLU20,D,20200625,000000,6.25,6.29,6.23,6.29,12,103
FOPLU20,D,20200626,000000,6.30,6.39,6.29,6.39,38,108
FOPLU20,D,20200629,000000,6.39,6.40,6.30,6.38,29,109
FOPLU20,D,20200630,000000,6.38,6.39,6.23,6.29,16,117
FOPLU20,D,20200701,000000,6.32,6.40,6.25,6.40,25,108
FOPLU20,D,20200702,000000,6.44,6.54,6.44,6.50,18,107
FOPLU20,D,20200703,000000,6.52,6.60,6.52,6.57,9,108
FOPLU20,D,20200706,000000,6.62,6.62,6.55,6.60,22,123
FOPLU20,D,20200707,000000,6.55,6.55,6.42,6.47,16,127
FOPLU20,D,20200708,000000,6.40,6.43,6.35,6.39,18,125
FOPLU20,D,20200709,000000,6.41,6.52,6.41,6.52,13,127
FOPLU20,D,20200710,000000,6.49,6.59,6.49,6.59,16,130
FOPLU20,D,20200714,000000,6.56,6.66,6.53,6.66,9,129
FOPLU20,D,20200715,000000,6.59,6.65,6.57,6.65,6,127
FOPLU20,D,20200716,000000,6.64,7.30,6.64,7.22,151,154
FOPLU20,D,20200717,000000,7.25,7.85,7.23,7.23,617,182
FOPLU20,D,20200720,000000,7.25,7.70,7.24,7.70,53,181
FOPLU20,D,20200721,000000,7.73,7.91,7.59,7.65,53,177
FOPLU20,D,20200722,000000,7.58,7.58,7.33,7.38,39,168
FOPLU20,D,20200723,000000,7.36,7.36,7.05,7.07,23,163
FOPLU20,D,20200724,000000,6.84,7.07,6.83,7.07,32,162
FOPLU20,D,20200727,000000,7.02,7.18,7.02,7.17,316,447
FOPLU20,D,20200728,000000,7.22,7.26,6.95,7.06,390,748
FOPLU20,D,20200729,000000,7.05,7.18,7.05,7.16,43,762
FOPLU20,D,20200730,000000,7.21,7.23,6.99,7.15,51,749
FOPLU20,D,20200731,000000,7.12,7.13,7.03,7.13,48,720
FOPLU20,D,20200803,000000,7.09,7.34,7.09,7.34,48,744
FOPLU20,D,20200804,000000,7.39,7.39,7.28,7.35,34,721
FOPLU20,D,20200805,000000,7.37,7.57,7.37,7.53,227,906
FOPLU20,D,20200806,000000,7.50,7.54,7.46,7.54,62,901
FOPLU20,D,20200807,000000,7.48,7.50,7.43,7.50,14,894
FOPLU20,D,20200810,000000,7.48,7.55,7.44,7.45,19,906
FOPLU20,D,20200811,000000,7.71,8.00,7.46,7.51,67,921
FOPLU20,D,20200812,000000,7.69,7.69,7.54,7.56,10,922
FOPLU20,D,20200813,000000,7.60,7.73,7.59,7.63,33,940
FOPLU20,D,20200814,000000,7.73,7.73,7.55,7.64,23,936
FOPLU20,D,20200817,000000,7.56,7.69,7.56,7.68,8,938
FOPLU20,D,20200818,000000,7.57,7.62,7.50,7.59,50,946
FOPLU20,D,20200819,000000,7.57,7.60,7.52,7.54,22,944
FOPLU20,D,20200820,000000,7.4,7.54,7.39,7.54,37,925
FOPLU20,D,20200821,000000,7.53,7.61,7.53,7.60,17,921
FOPLU20,D,20200824,000000,7.62,7.63,7.42,7.44,24,938
FOPLU20,D,20200825,000000,7.50,7.50,7.27,7.33,15,942
FOPLU20,D,20200826,000000,7.30,7.48,7.25,7.48,55,919
FOPLU20,D,20200827,000000,7.33,7.40,7.30,7.38,16,916
FOPLU20,D,20200828,000000,7.35,7.41,7.23,7.38,52,889
FOPLU20,D,20200831,000000,7.28,7.32,7.22,7.32,27,878
FOPLU20,D,20200901,000000,7.21,7.30,7.20,7.24,62,839
FOPLU20,D,20200902,000000,7.24,7.29,7.21,7.25,36,821
FOPLU20,D,20200903,000000,7.27,7.34,7.15,7.15,40,799
FOPLU20,D,20200904,000000,7.18,7.26,7.13,7.19,117,890
FOPLU20,D,20200907,000000,7.17,7.30,7.17,7.26,16,887
FOPLU20,D,20200908,000000,7.21,7.24,7.00,7.11,32,894
FOPLU20,D,20200909,000000,7.11,7.29,7.07,7.29,23,894
FOPLU20,D,20200910,000000,7.17,7.17,7.07,7.07,6,897
FOPLU20,D,20200911,000000,7.05,7.11,7.04,7.07,6,896
FOPLU20,D,20200914,000000,7.08,7.11,7.03,7.07,7,896
FOPLU20,D,20200915,000000,7.00,7.00,6.77,6.87,41,890
FOPLU20,D,20200916,000000,6.80,6.85,6.74,6.85,12,891
FOPLU20,D,20200917,000000,6.72,6.86,6.59,6.86,68,878
FOPLU20,D,20200918,000000,6.79,6.79,6.68,6.70,52,877
