<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPEOM21,D,20200921,000000,49.89,49.89,49.40,49.40,11,11
FPEOM21,D,20200922,000000,49.17,49.18,49.17,49.18,7,18
FPEOM21,D,20200923,000000,49.69,49.69,48.93,48.93,11,29
FPEOM21,D,20200924,000000,48.55,48.55,48.55,48.55,4,31
FPEOM21,D,20200925,000000,49.70,49.70,49.70,49.70,1,32
FPEOM21,D,20200928,000000,50.06,50.06,50.06,50.06,1,33
FPEOM21,D,20201005,000000,52.00,52.00,52.00,52.00,1,34
FPEOM21,D,20201006,000000,53.00,53.00,53.00,53.00,1,35
FPEOM21,D,20201008,000000,55.00,55.00,55.00,55.00,1,35
FPEOM21,D,20201009,000000,52.04,52.04,52.04,52.04,4,39
FPEOM21,D,20201013,000000,52.50,52.50,51.00,51.00,9,46
FPEOM21,D,20201016,000000,48.1259,48.1259,48.1259,48.1259,1,47
