<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20D202150.PL,D,20200203,000000,24,24,24,24,1,1
OW20D202150.PL,D,20200204,000000,39.08,39.08,39.08,39.08,1,2
OW20D202150.PL,D,20200219,000000,35,35,35,35,1,3
OW20D202150.PL,D,20200224,000000,13,15,8.86,10.91,42,44
OW20D202150.PL,D,20200225,000000,6.6,6.6,6.01,6.01,4,44
OW20D202150.PL,D,20200226,000000,4.03,6.49,4.03,6.49,15,46
OW20D202150.PL,D,20200227,000000,4.54,4.57,3.45,3.45,3,49
OW20D202150.PL,D,20200228,000000,2.25,2.28,2.25,2.28,14,49
OW20D202150.PL,D,20200303,000000,3.5,4.3,3.5,4.3,7,48
OW20D202150.PL,D,20200310,000000,0.4,0.4,0.4,0.4,2,46
OW20D202150.PL,D,20200311,000000,0.09,0.09,0.09,0.09,4,45
OW20D202150.PL,D,20200312,000000,4.95,4.95,4.95,4.95,1,44
OW20D202150.PL,D,20200318,000000,0.95,0.95,0.95,0.95,1,44
OW20D202150.PL,D,20200319,000000,1.5,2.85,1.5,2.28,68,102
OW20D202150.PL,D,20200402,000000,0.01,0.01,0.01,0.01,1,101
OW20D202150.PL,D,20200403,000000,0.01,0.01,0.01,0.01,10,91
OW20D202150.PL,D,20200414,000000,0.01,0.01,0.01,0.01,2,89
