<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20E201550.PL,D,20200316,000000,30,30,30,30,1,0
OW20E201550.PL,D,20200327,000000,64.85,64.85,64.85,64.85,1,1
OW20E201550.PL,D,20200416,000000,94.95,96.7,94.95,96.7,3,3
OW20E201550.PL,D,20200417,000000,124.7,126,110,110,4,2
OW20E201550.PL,D,20200420,000000,98.2,112.5,98.2,112.5,5,6
OW20E201550.PL,D,20200421,000000,95.5,95.5,77.6,77.6,11,12
OW20E201550.PL,D,20200427,000000,68.9,68.9,68.9,68.9,1,13
OW20E201550.PL,D,20200429,000000,120.35,120.35,120.35,120.35,2,13
OW20E201550.PL,D,20200430,000000,124.9,124.9,124.9,124.9,1,14
OW20E201550.PL,D,20200504,000000,83.05,83.05,83.05,83.05,1,13
OW20E201550.PL,D,20200507,000000,50.9,50.9,50.9,50.9,1,13
OW20E201550.PL,D,20200508,000000,67.15,67.15,67.15,67.15,1,13
OW20E201550.PL,D,20200511,000000,48.12,48.12,48.12,48.12,10,23
OW20E201550.PL,D,20200512,000000,62.5,62.5,62.5,62.5,2,23
OW20E201550.PL,D,20200514,000000,47.97,47.97,22,29,11,29
OW20E201550.PL,D,20200515,000000,40,40,26.79,26.79,24,9
