<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20F201725.PL,D,20200518,000000,7.57,11.5,6,11.03,228,221
OW20F201725.PL,D,20200519,000000,12.68,12.68,12.68,12.68,4,225
OW20F201725.PL,D,20200520,000000,12,20.79,12,19.78,4,223
OW20F201725.PL,D,20200521,000000,11.56,12.72,11.56,12.72,2,225
OW20F201725.PL,D,20200522,000000,10.66,10.66,8.88,8.88,8,232
OW20F201725.PL,D,20200525,000000,11.6,13.29,10.9,13.29,24,232
OW20F201725.PL,D,20200526,000000,15,34.52,15,34.52,53,242
OW20F201725.PL,D,20200527,000000,29.5,55.95,28.58,28.58,161,144
OW20F201725.PL,D,20200528,000000,42,48.9,32.1,35,42,121
OW20F201725.PL,D,20200529,000000,34.29,34.29,28.19,30.94,7,117
OW20F201725.PL,D,20200601,000000,36,36,30,30,14,120
OW20F201725.PL,D,20200602,000000,42,42.5,40.78,40.78,4,117
OW20F201725.PL,D,20200603,000000,46.18,71.8,46.18,63,12,114
OW20F201725.PL,D,20200604,000000,63.85,69.5,63.85,68,24,113
OW20F201725.PL,D,20200605,000000,116,120,116,120,3,112
OW20F201725.PL,D,20200608,000000,114,128,114,125,6,111
OW20F201725.PL,D,20200610,000000,120.5,120.5,120.5,120.5,2,109
OW20F201725.PL,D,20200612,000000,90.65,90.65,87,87,3,107
OW20F201725.PL,D,20200615,000000,42.42,42.42,42.42,42.42,1,107
OW20F201725.PL,D,20200616,000000,76.2,88.65,76.2,88.65,2,105
OW20F201725.PL,D,20200617,000000,82.95,82.95,69,69,12,97
OW20F201725.PL,D,20200618,000000,74.05,76.4,74.05,76.4,4,94
OW20F201725.PL,D,20200619,000000,80,85.45,78,83.65,53,69
