<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20J201650.PL,D,20200921,000000,78,78,57.7,57.7,17,17
OW20J201650.PL,D,20200924,000000,36.98,40,34.95,40,7,23
OW20J201650.PL,D,20200925,000000,44.54,44.54,41.06,41.06,2,24
OW20J201650.PL,D,20200928,000000,55,86,55,86,4,20
OW20J201650.PL,D,20201008,000000,81,81,74,74,5,23
OW20J201650.PL,D,20201009,000000,52,52,52,52,24,29
OW20J201650.PL,D,20201012,000000,56.15,56.15,56.15,56.15,1,28
OW20J201650.PL,D,20201013,000000,25.59,25.59,20.75,21.64,28,56
OW20J201650.PL,D,20201014,000000,22.65,40.42,22.65,40.42,15,65
OW20J201650.PL,D,20201015,000000,12,12,5,5,41,83
OW20J201650.PL,D,20201016,000000,5,14.89,4,10.01,204,228
