<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20L201850.PL,D,20200921,000000,18.88,18.88,11,11.5,63,63
OW20L201850.PL,D,20200922,000000,11,12.4,8.45,12.39,76,137
OW20L201850.PL,D,20200923,000000,10,10,9,10,73,202
OW20L201850.PL,D,20200924,000000,8.4,8.4,8,8,102,304
OW20L201850.PL,D,20200925,000000,11.98,11.98,9.5,9.5,11,302
OW20L201850.PL,D,20200928,000000,13.45,18.21,13.45,18.21,88,304
OW20L201850.PL,D,20200929,000000,18.86,19.82,14.7,14.7,592,847
OW20L201850.PL,D,20200930,000000,14.39,14.39,11.18,11.33,20,864
OW20L201850.PL,D,20201001,000000,12.03,14.17,10.16,10.6,83,935
OW20L201850.PL,D,20201002,000000,10,10.91,7.46,10.91,90,1014
OW20L201850.PL,D,20201005,000000,17.5,17.5,15,15,41,1050
OW20L201850.PL,D,20201006,000000,17.8,19.04,17.8,18.91,22,1034
OW20L201850.PL,D,20201007,000000,13.1,14.54,13.1,14.54,19,1035
OW20L201850.PL,D,20201008,000000,11.88,11.88,11.88,11.88,11,1046
OW20L201850.PL,D,20201009,000000,9.9,9.9,7.5,9.83,63,1045
OW20L201850.PL,D,20201012,000000,7.68,8,7.11,8,12,1057
OW20L201850.PL,D,20201013,000000,7.09,7.09,5.5,5.5,584,872
OW20L201850.PL,D,20201014,000000,9.5,9.5,7.61,7.61,9,873
OW20L201850.PL,D,20201015,000000,5.6,5.6,3.4,3.4,1036,597
OW20L201850.PL,D,20201016,000000,6,6,6,6,1,597
