<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20M202150.PL,D,20191114,000000,27.44,27.44,27.44,27.44,1,1
OW20M202150.PL,D,20191120,000000,33.91,33.91,33.91,33.91,1,1
OW20M202150.PL,D,20191202,000000,38.74,56,38.74,56,16,16
OW20M202150.PL,D,20191204,000000,73.55,73.55,73.55,73.55,1,16
OW20M202150.PL,D,20191206,000000,102.55,102.55,102.55,102.55,10,15
OW20M202150.PL,D,20191211,000000,113.55,113.55,113.55,113.55,1,15
OW20M202150.PL,D,20191212,000000,66.5,66.5,65.9,65.9,20,35
OW20M202150.PL,D,20191217,000000,42.7,47.18,42.7,47.18,11,27
OW20M202150.PL,D,20191219,000000,43.5,43.52,43.5,43.52,2,29
OW20M202150.PL,D,20191220,000000,40.94,42.8,40.24,40.24,8,37
OW20M202150.PL,D,20191223,000000,42.88,42.88,40,40,6,38
OW20M202150.PL,D,20191227,000000,27.7,27.7,27.7,27.7,10,36
OW20M202150.PL,D,20191230,000000,28.25,28.25,26.05,28,6,41
OW20M202150.PL,D,20200102,000000,23,23,10.35,11.86,168,172
OW20M202150.PL,D,20200103,000000,11,19.66,11,17.74,38,198
OW20M202150.PL,D,20200107,000000,15.99,24,14.33,24,38,217
OW20M202150.PL,D,20200108,000000,29.8,38.68,29.8,38.68,26,223
OW20M202150.PL,D,20200109,000000,25,27.78,16.5,17.09,85,261
OW20M202150.PL,D,20200110,000000,17.16,17.16,11.46,11.46,33,288
OW20M202150.PL,D,20200113,000000,9.1,9.1,4.2,4.2,126,368
OW20M202150.PL,D,20200114,000000,3.78,5,2.65,3.32,62,383
OW20M202150.PL,D,20200115,000000,4.49,6.2,3.41,5.3,68,376
OW20M202150.PL,D,20200116,000000,4,4,2.12,2.15,71,411
OW20M202150.PL,D,20200117,000000,3,5,0.01,0.01,193,436
