<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20P201300.PL,D,20200310,000000,3.92,3.92,3.92,3.92,3,3
OW20P201300.PL,D,20200311,000000,9.8,19.11,9.8,19.11,3,6
OW20P201300.PL,D,20200312,000000,64.55,73,58.45,73,28,32
OW20P201300.PL,D,20200313,000000,62,65.3,53.1,54.5,29,41
OW20P201300.PL,D,20200316,000000,124,125,124,125,3,38
OW20P201300.PL,D,20200317,000000,84.45,84.45,65,65,8,39
OW20P201300.PL,D,20200318,000000,69.7,87.8,69.7,84,5,44
OW20P201300.PL,D,20200319,000000,58.8,58.8,52,52,4,47
OW20P201300.PL,D,20200320,000000,40,40,27.46,37.51,77,120
OW20P201300.PL,D,20200323,000000,46.96,56.8,46.96,55.55,24,130
OW20P201300.PL,D,20200324,000000,40.04,40.04,30,32,10,135
OW20P201300.PL,D,20200325,000000,25.2,50,25,37,45,136
OW20P201300.PL,D,20200326,000000,28.35,32.88,22.99,22.99,4,138
OW20P201300.PL,D,20200327,000000,22.7,24.4,22.7,24.4,39,160
OW20P201300.PL,D,20200330,000000,26.2,26.4,19.09,19.98,5,160
OW20P201300.PL,D,20200331,000000,14.2,16.5,13,15,42,193
OW20P201300.PL,D,20200401,000000,18.17,19,16.3,19,9,199
OW20P201300.PL,D,20200402,000000,17.52,17.52,15.01,15.01,15,196
OW20P201300.PL,D,20200403,000000,15.58,15.58,12.55,12.55,22,198
OW20P201300.PL,D,20200406,000000,4.6,4.68,3.5,3.5,35,218
OW20P201300.PL,D,20200407,000000,3.29,3.29,2.61,2.77,8,221
OW20P201300.PL,D,20200408,000000,2.2,2.2,1.51,1.51,2,220
OW20P201300.PL,D,20200409,000000,1.4,1.8,0.5,1,12,215
OW20P201300.PL,D,20200414,000000,0.6,0.6,0.02,0.02,10,211
OW20P201300.PL,D,20200416,000000,0.01,0.01,0.01,0.01,1,210
OW20P201300.PL,D,20200417,000000,0.01,0.01,0.01,0.01,1,209
