<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20Q201600.PL,D,20200228,000000,21.2,31.88,21.2,22.78,13,10
OW20Q201600.PL,D,20200302,000000,22.04,22.04,16.45,16.45,20,10
OW20Q201600.PL,D,20200310,000000,74,78,74,78,6,10
OW20Q201600.PL,D,20200313,000000,215.1,215.1,215.1,215.1,1,9
OW20Q201600.PL,D,20200319,000000,213.75,213.75,213.75,213.75,1,9
OW20Q201600.PL,D,20200326,000000,207,207,207,207,11,17
OW20Q201600.PL,D,20200415,000000,49.09,62,49.09,61,14,29
OW20Q201600.PL,D,20200417,000000,63.5,63.5,54.4,54.4,17,40
OW20Q201600.PL,D,20200420,000000,60.35,61.35,42.84,42.84,20,37
OW20Q201600.PL,D,20200421,000000,72.7,72.7,70.75,70.75,2,37
OW20Q201600.PL,D,20200422,000000,65.9,67,64,64,6,36
OW20Q201600.PL,D,20200423,000000,55.95,55.95,53.65,53.65,2,36
OW20Q201600.PL,D,20200424,000000,58.7,59.15,49.44,53.55,6,41
OW20Q201600.PL,D,20200427,000000,43.84,51,43.84,48.79,23,44
OW20Q201600.PL,D,20200428,000000,56,56,38,38,9,45
OW20Q201600.PL,D,20200429,000000,41.63,41.63,22,23.4,31,66
OW20Q201600.PL,D,20200430,000000,16,27.46,15,24.56,51,101
OW20Q201600.PL,D,20200504,000000,34,42,33.57,40.39,37,125
OW20Q201600.PL,D,20200505,000000,35,39.99,35,39.71,6,127
OW20Q201600.PL,D,20200506,000000,45,50,45,49,7,126
OW20Q201600.PL,D,20200507,000000,41.76,55,31.4,31.4,20,120
OW20Q201600.PL,D,20200508,000000,27,29.31,26.61,26.96,38,157
OW20Q201600.PL,D,20200511,000000,18.6,33,17.38,28.8,40,168
OW20Q201600.PL,D,20200512,000000,25,25,15.74,15.74,22,177
OW20Q201600.PL,D,20200513,000000,15.11,15.75,8,13.85,87,230
OW20Q201600.PL,D,20200514,000000,18.17,43,15.66,31.87,195,141
OW20Q201600.PL,D,20200515,000000,21,29.02,14.17,22.97,47,139
