<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20R201250.PL,D,20200323,000000,71.65,71.65,71.15,71.15,6,6
OW20R201250.PL,D,20200326,000000,51,51,51,51,1,7
OW20R201250.PL,D,20200402,000000,43.01,43.01,41,41,3,10
OW20R201250.PL,D,20200403,000000,38.68,38.68,38.27,38.27,11,21
OW20R201250.PL,D,20200406,000000,28.37,28.37,22.34,22.34,4,24
OW20R201250.PL,D,20200407,000000,17.73,18.23,17.73,18.23,6,29
OW20R201250.PL,D,20200408,000000,23.23,23.23,23.23,23.23,1,29
OW20R201250.PL,D,20200409,000000,21,21,21,21,10,38
OW20R201250.PL,D,20200414,000000,13.83,13.83,12.9,12.9,15,53
OW20R201250.PL,D,20200415,000000,14.09,17.5,14.09,17.5,11,64
OW20R201250.PL,D,20200416,000000,17.5,17.5,17.5,17.5,1,65
OW20R201250.PL,D,20200417,000000,15.53,16.7,15,15,15,65
OW20R201250.PL,D,20200421,000000,19.01,19.99,19.01,19.99,5,65
OW20R201250.PL,D,20200422,000000,17,17,17,17,1,64
OW20R201250.PL,D,20200424,000000,13.33,13.33,13.33,13.33,4,64
OW20R201250.PL,D,20200428,000000,11.87,11.87,11.87,11.87,2,66
OW20R201250.PL,D,20200429,000000,9.8,9.8,9.5,9.5,4,70
OW20R201250.PL,D,20200430,000000,8.04,9.47,8.04,9.47,6,72
OW20R201250.PL,D,20200504,000000,11.02,11.02,11.02,11.02,11,72
OW20R201250.PL,D,20200506,000000,12,12,12,12,4,72
OW20R201250.PL,D,20200513,000000,6.63,6.63,5,5.94,15,85
OW20R201250.PL,D,20200514,000000,7.97,7.97,7.97,7.97,1,86
OW20R201250.PL,D,20200515,000000,5.05,5.99,5,5.99,4,87
OW20R201250.PL,D,20200518,000000,5,5.64,4,4.5,29,110
OW20R201250.PL,D,20200519,000000,3.42,3.42,3.42,3.42,1,110
OW20R201250.PL,D,20200521,000000,2,2,2,2,47,117
OW20R201250.PL,D,20200525,000000,2.63,2.63,2.63,2.63,1,117
OW20R201250.PL,D,20200526,000000,1.1,1.1,0.9,0.9,5,117
