<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20S201200.PL,D,20200422,000000,21.47,21.47,21.47,21.47,1,1
OW20S201200.PL,D,20200428,000000,15.5,15.5,15.5,15.5,1,2
OW20S201200.PL,D,20200429,000000,14,14.5,12.5,12.5,4,5
OW20S201200.PL,D,20200430,000000,10.52,12.39,10.52,12.39,4,9
OW20S201200.PL,D,20200505,000000,14.49,14.49,14.49,14.49,1,9
OW20S201200.PL,D,20200506,000000,15.01,15.01,15.01,15.01,1,10
OW20S201200.PL,D,20200511,000000,10.92,11.24,10.92,11,26,36
OW20S201200.PL,D,20200512,000000,9.73,9.73,9.73,9.73,2,38
OW20S201200.PL,D,20200513,000000,9.79,9.79,9.79,9.79,11,49
OW20S201200.PL,D,20200514,000000,11.22,11.22,11.22,11.22,1,50
OW20S201200.PL,D,20200518,000000,9.16,9.6,8,8,11,61
OW20S201200.PL,D,20200520,000000,4.7,5.54,4.7,5.54,3,64
OW20S201200.PL,D,20200521,000000,4.7,4.7,4.5,4.5,13,77
OW20S201200.PL,D,20200522,000000,4.6,5.33,4.6,5.33,12,88
OW20S201200.PL,D,20200525,000000,4.6,4.6,4.4,4.4,50,138
OW20S201200.PL,D,20200526,000000,3.89,3.89,3.6,3.6,2,140
OW20S201200.PL,D,20200529,000000,4.04,4.11,4.04,4.1,3,141
OW20S201200.PL,D,20200603,000000,1.21,2.42,1.2,2.42,8,146
OW20S201200.PL,D,20200604,000000,1.51,1.51,1.5,1.5,52,198
OW20S201200.PL,D,20200608,000000,1.5,1.5,1.5,1.5,2,197
OW20S201200.PL,D,20200623,000000,1,1,1,1,7,197
