<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20T201725.PL,D,20200720,000000,13.35,13.35,11,11,17,17
OW20T201725.PL,D,20200721,000000,8,8,8,8,1,18
OW20T201725.PL,D,20200722,000000,10.55,11,10,10,5,23
OW20T201725.PL,D,20200723,000000,12,12.54,11.36,11.36,4,23
OW20T201725.PL,D,20200727,000000,12,12,10,10,6,29
OW20T201725.PL,D,20200728,000000,9.91,10,9.91,10,20,49
OW20T201725.PL,D,20200729,000000,10.84,10.84,10.84,10.84,1,49
OW20T201725.PL,D,20200731,000000,16.26,20.39,13.6,20.39,4,53
OW20T201725.PL,D,20200803,000000,14.02,14.02,8,9.24,48,28
OW20T201725.PL,D,20200804,000000,7.24,8.78,6.3,8.78,5,28
OW20T201725.PL,D,20200805,000000,5.64,5.64,4.99,5.53,11,28
OW20T201725.PL,D,20200806,000000,5.88,7.26,4.99,7.26,17,33
OW20T201725.PL,D,20200807,000000,5.91,5.91,4.5,4.51,18,40
OW20T201725.PL,D,20200810,000000,3.01,3.01,2.15,2.89,7,39
OW20T201725.PL,D,20200811,000000,1.2,2,1.2,2,2,40
OW20T201725.PL,D,20200812,000000,1.5,1.5,1.5,1.5,3,40
OW20T201725.PL,D,20200813,000000,2,2,1.6,1.6,12,43
OW20T201725.PL,D,20200814,000000,1.35,1.35,1.35,1.35,2,43
OW20T201725.PL,D,20200817,000000,0.85,0.85,0.85,0.85,2,43
OW20T201725.PL,D,20200818,000000,0.6,0.65,0.6,0.65,6,43
