<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20W201700.PL,D,20200824,000000,26.01,26.81,26.01,26.81,4,3
OW20W201700.PL,D,20200831,000000,23.4,23.4,23.4,23.4,61,64
OW20W201700.PL,D,20200903,000000,30.97,30.97,30.97,30.97,1,65
OW20W201700.PL,D,20200917,000000,35.5,35.5,35.5,35.5,1,65
OW20W201700.PL,D,20200918,000000,34.52,34.52,34.52,34.52,5,70
OW20W201700.PL,D,20200921,000000,45.14,49.76,45.14,49.76,2,72
OW20W201700.PL,D,20200922,000000,51.05,51.05,51.05,51.05,1,73
OW20W201700.PL,D,20200928,000000,40,43,40,43,2,74
OW20W201700.PL,D,20201001,000000,49.22,49.22,49.22,49.22,1,74
OW20W201700.PL,D,20201002,000000,58,58,58,58,1,74
OW20W201700.PL,D,20201005,000000,30.9,34,30.9,34,2,75
OW20W201700.PL,D,20201006,000000,27.4,30,27.4,30,7,75
OW20W201700.PL,D,20201007,000000,35.45,35.45,35.45,35.45,1,75
OW20W201700.PL,D,20201012,000000,45.25,45.25,45.25,45.25,2,75
OW20W201700.PL,D,20201013,000000,54.45,54.45,54.45,54.45,1,74
OW20W201700.PL,D,20201014,000000,58.45,58.45,50.25,50.25,4,72
OW20W201700.PL,D,20201015,000000,75.9,75.9,75.9,75.9,1,71
OW20W201700.PL,D,20201016,000000,64.5,66,64.5,64.5,5,71
