<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20X202200.PL,D,20200102,000000,159.2,159.2,159.2,159.2,3,3
OW20X202200.PL,D,20200103,000000,168.5,168.5,168.5,168.5,2,5
OW20X202200.PL,D,20200107,000000,175.7,175.7,175.7,175.7,2,7
OW20X202200.PL,D,20200110,000000,169.1,169.1,169.1,169.1,1,7
OW20X202200.PL,D,20200122,000000,174.45,174.45,174.45,174.45,1,7
OW20X202200.PL,D,20200127,000000,183,183,183,183,1,7
OW20X202200.PL,D,20200129,000000,181.75,181.75,181.75,181.75,1,8
OW20X202200.PL,D,20200130,000000,221.5,221.5,221.5,221.5,2,8
OW20X202200.PL,D,20200207,000000,193.3,193.3,193.3,193.3,1,8
OW20X202200.PL,D,20200212,000000,176.6,176.6,176.6,176.6,1,8
OW20X202200.PL,D,20200213,000000,185.4,185.4,185.4,185.4,1,8
OW20X202200.PL,D,20200225,000000,299.55,301.5,298.25,301.5,6,4
OW20X202200.PL,D,20200226,000000,336.9,336.9,331.95,331.95,2,3
OW20X202200.PL,D,20200228,000000,482.8,482.8,482.8,482.8,1,2
OW20X202200.PL,D,20200302,000000,466.3,466.3,466.3,466.3,1,1
OW20X202200.PL,D,20200317,000000,815.95,815.95,815.95,815.95,1,2
OW20X202200.PL,D,20200723,000000,372,372,372,372,1,3
OW20X202200.PL,D,20200727,000000,401,401,401,401,1,3
OW20X202200.PL,D,20200730,000000,393,393,393,393,1,3
OW20X202200.PL,D,20200805,000000,392,392,392,392,1,2
